draw_id	phase	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	requested_selection_end_generations_ago	realized_selection_end_generations_ago	exact_sample_alt_count	sample_diploids	candidate_pool_diploids	slim_scaling_factor	mutation_age_generations	selection_start_generations_ago	draw_index	seed	seed_nonce	panel_seed	panel_seed_nonce	timeout_seconds	sequence_length_bp	focal_position_bp	processing_mode	exploratory_screen_ledger_sha256
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw000	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	0	2810736	0	514251492	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw001	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	1	1695188462	0	767656348	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw002	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	2	530073916	0	1147295782	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw003	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	3	1105480592	0	977201508	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw004	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	4	1019531524	0	2088091396	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw005	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	5	1529031681	0	969432345	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw006	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	6	614611157	0	497952266	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw007	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	7	1605453248	0	1648060709	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw008	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	8	1005705181	0	1010367678	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw009	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	9	646276924	0	147048735	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw010	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	10	144678128	0	948333120	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw011	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	11	1085385507	0	1934848549	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw012	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	12	310411236	0	73107045	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw013	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	13	1317743658	0	1012544499	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw014	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	14	1541234081	0	129303528	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw015	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	15	1255024176	0	802134280	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
