tick,fitness_p3_mean,fitness_p3_sd
1,1.0,0.0
101,1.0,0.0
201,1.0,0.0
301,1.0,0.0
401,1.0,0.0
501,1.0,0.0
601,1.0,0.0
701,1.0,0.0
801,1.0,0.0
901,1.0,0.0
1001,1.0,0.0
1101,1.0,0.0
1201,1.0,0.0
1301,1.0,0.0
1401,1.0,0.0
1501,1.0,0.0
1601,1.0,0.0
1701,1.0,0.0
1801,1.0,0.0
1901,1.0,0.0
2001,1.0,0.0
2101,1.0,0.0
2201,1.0,0.0
2301,1.0,0.0
2401,1.0,0.0
2501,1.0,0.0
2601,1.0,0.0
2701,1.0,0.0
2801,1.0,0.0
2901,1.0,0.0
3001,1.0,0.0
3101,1.0,0.0
3201,1.0,0.0
3301,1.0,0.0
3401,1.0,0.0
3501,1.0,0.0
3601,1.0,0.0
3701,1.0,0.0
3801,1.0,0.0
3901,1.0,0.0
4001,1.0,0.0
4101,1.0,0.0
4201,1.0,0.0
4301,1.0,0.0
4401,1.0,0.0
4501,1.0,0.0
4601,1.0,0.0
4701,1.0,0.0
4801,1.0,0.0
4901,1.0,0.0
5001,1.0,0.0
5101,1.0,0.0
5201,1.0,0.0
5301,1.0,0.0
5401,1.0,0.0
5501,1.00016025641,0.00199731123827
5501,1.00256410256,0.00776709648735
5601,1.0,0.0
5501,1.00010683761,0.00163255040136
5501,1.00101495726,0.00493922275378
5501,1.00112179487,0.00518110090827
5601,1.0,0.0
5701,1.0,0.0
5501,1.00010683761,0.00163255040136
5501,1.00010683761,0.00163255040136
5501,1.00058760684,0.00379151767132
5601,1.0,0.0
5501,1.00053418803,0.00361902331384
5501,1.00170940171,0.00692302100024
5601,1.0,0.0
5701,1.0,0.0
5501,1.00058760684,0.00379151767132
5501,1.00032051282,0.00281549820517
5501,1.00080128205,0.00440811963261
5501,1.0016025641,0.0061299414229
5601,1.0,0.0
5701,1.0,0.0
5801,1.0,0.0
5901,1.0,0.0
