draw_id	phase	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	exact_sample_alt_count	sample_diploids	candidate_pool_diploids	slim_scaling_factor	mutation_age_generations	selection_start_generations_ago	selection_end_generations_ago	draw_index	seed	seed_nonce	panel_seed	panel_seed_nonce	timeout_seconds	sequence_length_bp	focal_position_bp	processing_mode
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw000	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	0	47057759	0	638243045	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw001	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	1	436865545	0	1590637780	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw002	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	2	1677052836	0	2073344026	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw003	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	3	1439351782	0	336629789	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw004	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	4	2073558250	0	1418375956	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw005	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	5	892096308	0	367972782	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw006	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	6	179028303	0	753298754	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw007	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	7	1019388713	0	1272777458	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw008	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	8	553216855	0	1006755621	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw009	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	9	470957964	0	1564085	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw010	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	10	916696842	0	2083946112	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw011	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	11	283697664	0	764402161	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw012	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	12	2110767685	0	490748851	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw013	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	13	576867201	0	290549481	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw014	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	14	73107298	0	520558059	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw015	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	15	1083475123	0	548889728	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
