calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	calibration_phase	simulation_mode	sequence_length_bp	focal_position_bp	seed_namespace	upstream_artifact_sha256	reserved_seed_registry_sha256	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	selected_focal_identity_json	candidate_pool_frequency_gate_json	elapsed_seconds	error	selection_intervals_json	trajectory_sha256
han_extension__s0.005000__af0.300000__m0.600000__q5__draw000	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	0	1809863641	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	625	0.625	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1926,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":170,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":239,""hom_alt"":193,""hom_ref"":68},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.625,""observed_alt_count"":625,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	83.02611639799943		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	40bc9d152764d670309cf93fed577a038258fc6823dff4e6fecef78a758d7c98
han_extension__s0.005000__af0.300000__m0.600000__q5__draw001	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	1	378643486	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	669	0.669	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1937,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":194,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":229,""hom_alt"":220,""hom_ref"":51},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.669,""observed_alt_count"":669,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	77.15655304699976		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	fd97e9ca690fa1c31d02c8b67b6c75344d903b8f88ffabd20de3a7dbf1ca23a0
han_extension__s0.005000__af0.300000__m0.600000__q5__draw002	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	2	1694987067	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	412	0.412	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1927,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":28,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":230,""hom_alt"":91,""hom_ref"":179},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.412,""observed_alt_count"":412,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	70.87118216800081		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	e6c462e1bd9873e3f4c7b348130cff666bf5d5afa32b7141ec30526c75eca663
han_extension__s0.005000__af0.300000__m0.600000__q5__draw003	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	3	61980030	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	209	0.209	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1928,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":0,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":161,""hom_alt"":24,""hom_ref"":315},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.209,""observed_alt_count"":209,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	69.2347450799989		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	973a94308f72e9934a5c9b18c54c9ea5248f059018158cbbb838290dc76ebbff
han_extension__s0.005000__af0.300000__m0.600000__q5__draw004	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	4	1415169935	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	589	0.589	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1923,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":172,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":235,""hom_alt"":177,""hom_ref"":88},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.589,""observed_alt_count"":589,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	90.01359098899957		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	ed29f39890ed8c4785ec27f6931c580fd6ddf7e5e36392f050c3a40f67876e0a
han_extension__s0.005000__af0.300000__m0.600000__q5__draw005	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	5	774361099	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	560	0.56	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1926,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":13,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":252,""hom_alt"":154,""hom_ref"":94},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.56,""observed_alt_count"":560,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	72.79085076100091		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	fe939f9705ebc0a20959262f8dc0e191d70343aa04343feacda06727ee14004a
han_extension__s0.005000__af0.300000__m0.600000__q5__draw006	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	6	635261027	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	29	0.029	False	False	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1824,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":48,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":27,""hom_alt"":1,""hom_ref"":472},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.029,""observed_alt_count"":29,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	78.75841112499984		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	e30dec4ccc9719524ca947c6d23e6889fc42cdfbab9ce0e5eb335141db314a47
han_extension__s0.005000__af0.300000__m0.600000__q5__draw007	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	7	285772412	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	137	0.137	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1933,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":133,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":123,""hom_alt"":7,""hom_ref"":370},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.137,""observed_alt_count"":137,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	80.9666834389991		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	516abe900767d702176d6eb4121711dceea066641e23cea5e7c931a420813727
han_extension__s0.005000__af0.300000__m0.600000__q5__draw008	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	8	1329566892	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	612	0.612	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1930,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":16,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":236,""hom_alt"":188,""hom_ref"":76},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.612,""observed_alt_count"":612,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	84.669584098001		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	9f73e371cd277ab7e5cf2d5067365bc0b7f2886bd749769b0cc6de8fd9ab0944
han_extension__s0.005000__af0.300000__m0.600000__q5__draw009	0.005	0.3	0.2749999999999999	0.325	0.6	94.63197354350996	2177.36802645649	965.579184126106	965.0	5.0	500	9	81008199	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14	False	False	complete	True	segregating	93	0.093	False	True	"{""expected_mutation_type"":1,""expected_origin_time_generations"":2400.0,""expected_source_subpopulation"":7,""focal_position_0based"":1.0,""observed_focal_site_count"":1,""observed_metadata_entry_count"":1,""observed_mutation_node"":1928,""observed_mutation_types"":[1],""observed_nucleotide"":-1,""observed_origin_time_generations"":2400.0,""observed_origin_time_raw_scaled_generations"":480.0,""observed_raw_mutation_id"":160,""observed_selection_coeff"":0.0,""observed_slim_cycle"":5933,""observed_slim_scaling_factor"":5.0,""observed_slim_time"":5453,""observed_source_subpopulation"":7,""observed_tskit_mutation_count"":1,""status"":""valid""}"	"{""candidate_pool_diploids"":500,""candidate_pool_genotype_counts"":{""heterozygous"":87,""hom_alt"":3,""hom_ref"":410},""candidate_pool_haplotypes"":1000,""gate_order"":""before_exact_sample_panel"",""maximum_alt_count_inclusive"":325,""minimum_alt_count_inclusive"":275,""observed_af"":0.093,""observed_alt_count"":93,""passed"":false,""population_af_lower_inclusive"":0.2749999999999999,""population_af_upper_inclusive"":0.325,""schema"":""gamma-smc.candidate-pool-frequency-gate/v1"",""status"":""fail""}"	76.73673834700094		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":965.0,""population"":""Han"",""start_time"":2015.0}]"	da55a8287f70455a6f4fd35778e1c314f87ba6c412a6582972d21c62ed4dd503
