calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	calibration_phase	simulation_mode	sequence_length_bp	focal_position_bp	seed_namespace	upstream_artifact_sha256	reserved_seed_registry_sha256
han_extension__s0.010000__af0.300000__m0.600000__q5__draw000	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	0	669052657	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw001	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	1	899209867	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw002	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	2	350706453	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw003	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	3	656288751	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw004	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	4	234550184	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw005	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	5	436309418	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw006	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	6	1043445694	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw007	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	7	709294943	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw008	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	8	253887316	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw009	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	9	987596464	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
