calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	elapsed_seconds	error	selection_intervals_json	canonical_result_source	reconciliation_id	reconciliation_mode	original_status	original_terminal_class	original_error	original_plan_sha256	original_ledger_sha256	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	selected_focal_identity_json	trajectory_sha256
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw000	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	0	576072700	complete	True	loss	0.0	0.0	False	False	85.74079539399986		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw001	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	1	1321892224	complete	True	segregating	246.0	0.246	False	True	112.89393512999982		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw002	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	2	2124671034	complete	True	segregating	229.0	0.229	False	True	94.9803940679999		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw003	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	3	2095739967	complete	True	segregating	115.0	0.115	True	True	139.11323080800025		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw004	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	4	240209684	complete	True	segregating	17.0	0.017	False	False	91.52164786800016		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw005	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	5	438895543	complete	True	segregating	31.0	0.031	False	False	102.40385423500015		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw006	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	6	124030435	complete	True	segregating	73.0	0.073	False	True	107.18358434099991		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw007	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	7	1352810280	complete	True	segregating	93.0	0.093	True	True	79.26846111400005		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw008	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	8	915256373	complete	True	segregating	1.0	0.001	False	False	127.31420975399988		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw009	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	9	2092420243	complete	True	segregating	233.0	0.233	False	True	88.3376032929998		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw010	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	10	41415627	complete	True	segregating	213.0	0.213	False	True	88.58790691100012		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw011	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	11	1123289811	complete	True	segregating	54.0	0.054	False	False	88.57585497100013		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw012	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	12	1316601836	complete	True	segregating	352.0	0.352	False	True	76.71005717000025		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw013	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	13	872807326	complete	True	segregating	4.0	0.004	False	False	94.57451234100016		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw014	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	14	528774788	complete	True	segregating	243.0	0.243	False	True	154.1989864279999		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw015	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	15	1604813566	complete	True	segregating	231.0	0.231	False	True	78.65961517400001		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw016	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	16	2058989260	complete	True	segregating	42.0	0.042	False	False	87.84932583399996		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
