calibration_id	phase	processing_mode	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	candidate_pool_diploids	sample_diploids	exact_sample_alt_count	draw_index	seed	panel_seed	slim_scaling_factor	slim_burn_in	sequence_length_bp	focal_position_bp	origin_age_generations	origin_contract_sha256	event_contract_sha256	cell_contract_sha256	slim_sha256
eas_selected__confirm100__s0.010000__af0.100000__q5__draw000	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	0	1051930327	124297944	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw001	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	1	266008069	551689613	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw002	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	2	1892510863	480709554	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw003	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	3	455110472	930175213	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw004	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	4	1036705673	483084426	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw005	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	5	1300909443	393490001	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw006	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	6	276521479	1822345782	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw007	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	7	286126967	65763047	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw008	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	8	1678458177	952778308	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
eas_selected__confirm100__s0.010000__af0.100000__q5__draw009	confirm100	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.01	0.1	0.07500000000000001	0.125	500	100	20	9	1606631942	495685444	5.0	0.1	2	1	999.0	b1db82958255b8c5c4f2e0a17f5d200b5d1b756e06400731ae9ef5ef8f4bdfb8	b8d07f8c4b5806e65ff47687e2f9be3db988beab960581d2809cf76e33b9f49d	a1736619482bc1798b40e9cbba175da8e3610d6fa7bb554776babd30f16ef30b	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d
