calibration_id	phase	processing_mode	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	candidate_pool_diploids	sample_diploids	exact_sample_alt_count	draw_index	seed	panel_seed	slim_scaling_factor	slim_burn_in	sequence_length_bp	focal_position_bp	origin_age_generations	origin_contract_sha256	event_contract_sha256	cell_contract_sha256	slim_sha256	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	pool_band_and_panel_hit	sample_alt_count	sample_af	n_hom_ref	n_heterozygous	n_hom_alt	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	elapsed_seconds	trajectory_sha256	panel_tree_sha256	panel_manifest_sha256	error
eas_selected__screen20__s0.005000__af0.100000__q5__draw000	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	0	724417522	210686771	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.08946609600025113				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw001	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	1	1240590172	825240786	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.08936942400032422				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw002	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	2	712923043	480246696	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.08083683800032304				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw003	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	3	866533143	1653842498	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.0793549410009291				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw004	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	4	581709211	711855298	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.07871923099992273				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw005	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	5	908731546	1557240507	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.08159966600032931				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw006	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	6	1333352414	1375917205	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.06206701900009648				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw007	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	7	1251137640	1312919104	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.058580091999829165				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw008	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	8	388528659	25865836	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.12745892299972184				ValueError: draw extended-event contract differs from plan
eas_selected__screen20__s0.005000__af0.100000__q5__draw009	screen20	focal_2bp_forward_only_no_recap_no_neutral_overlay	0.005	0.1	0.075	0.125	500	100	20	9	898241689	177343487	5.0	0.1	2	1	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	failed	False	failed			False	False	False						False	False	0.18279856700064556				ValueError: draw extended-event contract differs from plan
