unit_id	demography_id	demography_kind	population	source_model	selection_origin	simulation_class	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	exact_sample_alt_count	sample_diploids	replicate_index	seed	sequence_length_bp	focal_position_bp
eas_phlash_median__af10__selected_s0p010__rep001	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	1	1418757967	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep002	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	2	1781096255	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep003	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	3	1339025342	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep004	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	4	1409647860	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep005	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	5	1683192491	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep006	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	6	994932433	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep007	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	7	506021084	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep008	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	8	871856790	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep009	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	9	609262621	10000000	5000000
eas_phlash_median__af10__selected_s0p010__rep010	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.1	0.07500000000000001	0.125	20	100	10	1663219769	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep001	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	1	1457369249	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep002	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	2	132674746	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep003	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	3	807970012	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep004	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	4	673298948	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep005	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	5	2000727329	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep006	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	6	438560253	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep007	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	7	473719839	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep008	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	8	2116757592	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep009	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	9	1509487135	10000000	5000000
eas_phlash_median__af10__selected_s0p005__rep010	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.005	0.1	0.07500000000000001	0.125	20	100	10	1082754969	10000000	5000000
eas_phlash_median__af10__neutral__rep001	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	1	825236029	10000000	5000000
eas_phlash_median__af10__neutral__rep002	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	2	1021086912	10000000	5000000
eas_phlash_median__af10__neutral__rep003	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	3	875013898	10000000	5000000
eas_phlash_median__af10__neutral__rep004	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	4	2015163839	10000000	5000000
eas_phlash_median__af10__neutral__rep005	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	5	1688423849	10000000	5000000
eas_phlash_median__af10__neutral__rep006	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	6	2058434442	10000000	5000000
eas_phlash_median__af10__neutral__rep007	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	7	1646664363	10000000	5000000
eas_phlash_median__af10__neutral__rep008	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	8	472920946	10000000	5000000
eas_phlash_median__af10__neutral__rep009	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	9	1274115412	10000000	5000000
eas_phlash_median__af10__neutral__rep010	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	10	158336564	10000000	5000000
