demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	n_neutral	n_folds	fold_sizes	minimum_training_null	maximum_training_null	mean_crossfit_p	fraction_crossfit_p_le_0_05	ks_uniform_p	calibration_note
ancient_eurasia_han_introgression	0.1	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.993140351054	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	1	0	0	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.526666666667	0.03	0.3673454073	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.993624211027	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.960306237243	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.507283950617	0.04	0.999369539449	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	1	0	0	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	1	0	0	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	1	0	0	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	1	0	0	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
