unit_id	bank_role	simulation_class	replicate_index	seed	selection_coefficient	present_conditioning	simulation_completion_sha256	final_census_alt_count	final_census_total_count	final_census_af	final_census_segregating	pool_diploids	final_pool_alt_count	final_pool_total_count	final_pool_af	pool_detected	pool_fixed	sample_diploids	sample_alt_count	sample_total_count	sample_af	sample_detected	sample_fixed	panel_seed	hom_ref_diploids	heterozygous_diploids	hom_alt_diploids	mutation_origin_generations	introgression_pulse_generations	selection_end_generations	realized_frequency_trajectory_persisted
ancient_eurasia_han_introgression__af20__neutral__rep001	matched_af_sensitivity	neutral	1	1607718386	0	candidate_pool_af_0.175_to_0.225	be73cd8e9d0c9f02f34bbc170b0e1ebcf3a7f282852a3cc6c90ecfd70051c046					500	202	1000	0.202	True	False	100	40	200	0.2	True	False		65	30	5	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep002	matched_af_sensitivity	neutral	2	146465864	0	candidate_pool_af_0.175_to_0.225	5dc4f6f0ba8020077bce77008f49ce702ef3c76c3a043ae8467efdd106a6c8ef					500	216	1000	0.216	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep003	matched_af_sensitivity	neutral	3	1693895159	0	candidate_pool_af_0.175_to_0.225	279a72be47f061b44497146ae1abc2cd102982d87b3b714f7244a660ac2fbf0e					500	203	1000	0.203	True	False	100	40	200	0.2	True	False		64	32	4	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep004	matched_af_sensitivity	neutral	4	279222236	0	candidate_pool_af_0.175_to_0.225	1d3b9a108d54faa4a0e9769bf54489d44f5d8a2c1aa93581ed28999c16334537					500	190	1000	0.19	True	False	100	40	200	0.2	True	False		64	32	4	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep005	matched_af_sensitivity	neutral	5	2030231914	0	candidate_pool_af_0.175_to_0.225	aad3f3b78741ad5de6abcfc144ccacc41d62b758e92b61a8446de8ee37b93ac0					500	220	1000	0.22	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep006	matched_af_sensitivity	neutral	6	1728714276	0	candidate_pool_af_0.175_to_0.225	e51ea7a360405cb4e33ac7863a9bb39283f7412442becd42580ad7ce1b9fca4e					500	191	1000	0.191	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep007	matched_af_sensitivity	neutral	7	455180031	0	candidate_pool_af_0.175_to_0.225	e37bc940caef180fceb093117531baaa9db020895a694aa0ddb117f62e2781a0					500	190	1000	0.19	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep008	matched_af_sensitivity	neutral	8	1291539194	0	candidate_pool_af_0.175_to_0.225	9775a8f899aa902d109b41bc7630f43f6b5ba127e5ea13e7b9bebd2f1d69380e					500	213	1000	0.213	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep009	matched_af_sensitivity	neutral	9	1231161398	0	candidate_pool_af_0.175_to_0.225	19e6373fcfcd9df37fcd97e405cb03c5a66902fc5f94e5373148cb489c347622					500	192	1000	0.192	True	False	100	40	200	0.2	True	False		65	30	5	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep010	matched_af_sensitivity	neutral	10	1623806246	0	candidate_pool_af_0.175_to_0.225	f17c88440ea8ccd4f2f10cec67d3bfa934872d7b9ba0a3ca455e778259359ab0					500	189	1000	0.189	True	False	100	40	200	0.2	True	False		65	30	5	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep011	matched_af_sensitivity	neutral	11	743968624	0	candidate_pool_af_0.175_to_0.225	1246cd75dab24567e4760d88c36cb0c11c357eb87f71a7272934cc079f25a599					500	176	1000	0.176	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep012	matched_af_sensitivity	neutral	12	22870966	0	candidate_pool_af_0.175_to_0.225	5742cf0741f5f1ce84abd909ba47d18fc8d5dfb2e9023df16d48a3c25e5a005a					500	191	1000	0.191	True	False	100	40	200	0.2	True	False		64	32	4	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep013	matched_af_sensitivity	neutral	13	1885478193	0	candidate_pool_af_0.175_to_0.225	92a85260296530355f19a4229dfa7c4f94bce7e3bbb196ca834f6451b283511d					500	217	1000	0.217	True	False	100	40	200	0.2	True	False		62	36	2	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep014	matched_af_sensitivity	neutral	14	186161516	0	candidate_pool_af_0.175_to_0.225	cdd64a3fd1a504ea04207b8d6ea071f45ba1ca23a1f1823292ecbb534c526d2c					500	223	1000	0.223	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep015	matched_af_sensitivity	neutral	15	706411949	0	candidate_pool_af_0.175_to_0.225	00f4c0cf6310943bfbb17afa1117b8870c7f16d5e1960aef9b6bbbdee2a170eb					500	201	1000	0.201	True	False	100	40	200	0.2	True	False		65	30	5	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep016	matched_af_sensitivity	neutral	16	1572784378	0	candidate_pool_af_0.175_to_0.225	b7b8b2bb7fccf42a7decaae7384a6ddceb83d7b5500fd8a243aab2c73a7e4bfd					500	177	1000	0.177	True	False	100	40	200	0.2	True	False		64	32	4	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep017	matched_af_sensitivity	neutral	17	304782950	0	candidate_pool_af_0.175_to_0.225	e7dff1a6451dd091db5c5630d3076041ff9343869394149adce5d3eebe02748d					500	187	1000	0.187	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep018	matched_af_sensitivity	neutral	18	1708339959	0	candidate_pool_af_0.175_to_0.225	df4d36b9134356b4252a69d721ba9382cc8e4afc51599ba8b13254e554fd8c5d					500	225	1000	0.225	True	False	100	40	200	0.2	True	False		63	34	3	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep019	matched_af_sensitivity	neutral	19	1763750571	0	candidate_pool_af_0.175_to_0.225	67c97c785ccb5fefeffa9f4e1a9eaf7af0ebfbf842ccfe8f7fd010370622e9be					500	211	1000	0.211	True	False	100	40	200	0.2	True	False		64	32	4	2400	2272		False
ancient_eurasia_han_introgression__af20__neutral__rep020	matched_af_sensitivity	neutral	20	2087722462	0	candidate_pool_af_0.175_to_0.225	381c2094a592a5d39f8f5848811f2a26219131488207fd69d57014d0b2de3c13					500	218	1000	0.218	True	False	100	40	200	0.2	True	False		64	32	4	2400	2272		False
