source	estimand	statistic	threshold_years	alpha	n_selected	n_detected_raw	conditional_power_raw	raw_wilson_ci95_low	raw_wilson_ci95_high	n_detected_bh_within_7	conditional_power_bh_within_7	bh_within_7_wilson_ci95_low	bh_within_7_wilson_ci95_high	bh_family_size	interpretation
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	1000	0.05	10	2	0.2	0.0566821514544	0.509837528463	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	4500	0.05	10	2	0.2	0.0566821514544	0.509837528463	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	20000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	30000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	40000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	50000	0.05	10	1	0.1	0.0178762130951	0.404150026795	1	0.1	0.0178762130951	0.404150026795	7	final_af_matched_conditional_power_sensitivity
gamma_smc	survival_only_overall_vs_overall	p_overall	1000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
gamma_smc	survival_only_overall_vs_overall	p_overall	4500	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
gamma_smc	survival_only_overall_vs_overall	p_overall	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
gamma_smc	survival_only_overall_vs_overall	p_overall	20000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
gamma_smc	survival_only_overall_vs_overall	p_overall	30000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
gamma_smc	survival_only_overall_vs_overall	p_overall	40000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
gamma_smc	survival_only_overall_vs_overall	p_overall	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	1000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	4500	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	20000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	30000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	40000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	p_hom_alt_minus_hom_ref	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	final_af_matched_conditional_power_sensitivity
tree_truth	survival_only_overall_vs_overall	p_overall	1000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	survival_only_overall_vs_overall	p_overall	4500	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	survival_only_overall_vs_overall	p_overall	10000	0.05	10	1	0.1	0.0178762130951	0.404150026795	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	survival_only_overall_vs_overall	p_overall	20000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	survival_only_overall_vs_overall	p_overall	30000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	survival_only_overall_vs_overall	p_overall	40000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
tree_truth	survival_only_overall_vs_overall	p_overall	50000	0.05	10	0	0	0	0.277532799863	0	0	0	0.277532799863	7	simulation_reference_detection_fraction
