source	estimand	unit_id	replicate_index	statistic	n_null	n_thresholds	thresholds_years	observed_min_marginal_p_upper	most_extreme_threshold_years	observed_score_at_most_extreme_threshold	neutral_minp_exceedance_count	omnibus_p_upper	omnibus_method	correlation_handling	inference_scope
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep001	1	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.326732673267	20000	0.343447115701	48	0.485148514851	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep002	2	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.049504950495	1000	0.247783963891	13	0.138613861386	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.039603960396	4500	0.474400062088	11	0.118811881188	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.247524752475	40000	0.519484803737	36	0.366336633663	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.742574257426	40000	0.104694164482	88	0.881188118812	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.811881188119	50000	0.085897437052	92	0.920792079208	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.762376237624	50000	0.118830886833	90	0.90099009901	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.00990099009901	1000	0.386595716012	1	0.019801980198	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	9	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.841584158416	1000	-0.00859498232659	94	0.940594059406	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep010	10	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.70297029703	1000	-0.00224434195542	81	0.811881188119	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep001	1	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.386138613861	4500	0.0355560489603	63	0.633663366337	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep002	2	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.00990099009901	1000	0.029706179538	1	0.019801980198	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.415841584158	4500	0.0337375456819	63	0.633663366337	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.207920792079	10000	0.0668687131322	42	0.425742574257	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	5	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.356435643564	50000	0.14245876373	61	0.613861386139	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	6	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.138613861386	20000	0.110123369082	29	0.29702970297	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	7	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.207920792079	1000	0.0168015621081	42	0.425742574257	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	8	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.227722772277	1000	0.015791292068	43	0.435643564356	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	9	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.811881188119	1000	0.00541483886575	92	0.920792079208	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
gamma_smc	survival_only_overall_vs_overall	ancient_eurasia_han_introgression__af20__selected_s0p010__rep010	10	p_overall	100	7	1000,4500,10000,20000,30000,40000,50000	0.762376237624	4500	0.0217220562352	92	0.920792079208	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	nonexchangeable_simulation_reference_due_to_different_endpoint_af_conditioning
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep001	1	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.00990099009901	20000	0.984375	4	0.049504950495	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep002	2	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.108910891089	10000	0.421875	36	0.366336633663	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.019801980198	4500	0.666666666667	10	0.108910891089	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
tree_truth	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	p_hom_alt_minus_hom_ref	100	7	1000,4500,10000,20000,30000,40000,50000	0.257425742574	40000	0.876923076923	62	0.623762376238	inclusive_pooled_101_marginal_ranks_minP_plus_one_reference_tail	whole neutral seven-threshold vectors retained	selection_isolating_final_af_matched_genotype_contrast_sensitivity
