unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	statistic	window	threshold_years	score	final_population_af	sample_alt_count	sample_af
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	1000	0.0082103224369999995	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	4500	0.036777435550000001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	10000	0.076965022620000004	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	20000	0.13450855910000001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	30000	0.17719107370000001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	40000	0.20980186219999999	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	focal	50000	0.23542951000000001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	1000	0.0095496493486699995	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	4500	0.043674416351000001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	10000	0.092910357055199996	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	20000	0.16698850986700001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	30000	0.22632858928999999	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	40000	0.27542489479999999	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	mean_p_tmrca_lt	local_100kb	50000	0.31708000263800001	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	paper_frac_posterior_mean_below	focal	1000	0.0006060606061	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	paper_frac_posterior_mean_below	focal	4500	0.002626262626	0.19533969232404283	44	0.22
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	paper_frac_posterior_mean_below	focal	10000	0.01878787879	0.19533969232404283	44	0.22
