schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	final_population_af	sample_alt_count	sample_af	statistic	window	threshold_years	threshold_generations	observed_score	n_neutral	neutral_mean	neutral_sd	neutral_q025	neutral_q05	neutral_median	neutral_q95	neutral_q975	neutral_upper_exceedance_count	neutral_lower_exceedance_count	neutral_strictly_less_count	neutral_tie_count	mc_p_upper	mc_p_lower	mc_p_two_sided	upper_tail_cp95_low	upper_tail_cp95_high	lower_tail_cp95_low	lower_tail_cp95_high	neutral_midrank_descriptive_auc	minimum_attainable_p	confidence_interval_method	pvalue_method	neutral_bank	primary_window	score_direction	auc_interpretation
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	1000	40	0.0066330460250000004	100	0.010893673141710001	0.003463386314065506	0.0057668055769750006	0.0067095595897000001	0.010326283825000001	0.016710024677499997	0.019689029868999973	95	5	5	0	0.95049504950495045	0.059405940594059403	0.11881188118811881	0.88716508889453727	0.98356812081794787	0.016431879182052158	0.11283491110546275	0.050000000000000003	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	4500	180	0.0257927542	100	0.047446398129000006	0.015096581281924081	0.02638106589625	0.027454192754499999	0.045999537130000004	0.077216873737499997	0.083993707200749904	98	2	2	0	0.98019801980198018	0.029702970297029702	0.059405940594059403	0.92961606752892989	0.99756866317605741	0.0024313368239425436	0.07038393247107011	0.02	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	10000	400	0.051519526699999998	100	0.097672323671599989	0.030721295244945501	0.054513816520000001	0.056948635401000001	0.093920550905000011	0.15776982381999999	0.17111817545249994	99	1	1	0	0.99009900990099009	0.019801980198019802	0.039603960396039604	0.94554061460791938	0.99974685396702256	0.00025314603297742086	0.054459385392080645	0.01	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	20000	800	0.091377602069999994	100	0.16961701443950003	0.05224114492618423	0.094991865347999999	0.10340863096	0.16046583140000001	0.26797377210000001	0.28704128347999996	98	2	2	0	0.98019801980198018	0.029702970297029702	0.059405940594059403	0.92961606752892989	0.99756866317605741	0.0024313368239425436	0.07038393247107011	0.02	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	30000	1200	0.12762099339999999	100	0.22421177637700002	0.06774146358752596	0.12663559973249999	0.14186363889	0.21196029714999998	0.34639040863999998	0.36649708186749985	97	3	3	0	0.97029702970297027	0.039603960396039604	0.079207920792079209	0.91482394702572001	0.9937700284616936	0.0062299715383063968	0.08517605297428002	0.029999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	40000	1600	0.1617895459	100	0.26742596355199999	0.079299187393704049	0.15234959039000001	0.17494829505500001	0.25293886399999999	0.40677946843000001	0.43266546322499999	96	4	4	0	0.96039603960396036	0.049504950495049507	0.099009900990099015	0.90074284328734011	0.98899550601381181	0.011004493986188201	0.099257156712659916	0.040000000000000001	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	focal	50000	2000	0.1939294805	100	0.30280719351199997	0.088128785865964412	0.175786726335	0.191078155695	0.28349029729999997	0.45504168370499998	0.47648143669249998	94	6	6	0	0.94059405940594054	0.069306930693069313	0.13861386138613863	0.8739700654191771	0.9776651139286836	0.022334886071316385	0.12602993458082296	0.059999999999999998	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	1000	40	0.010644495076900001	100	0.011613008389465098	0.0019764177819590278	0.0086377667540259995	0.0092981168984945014	0.0111871296784	0.01529310684969	0.016460113971857485	64	36	36	0	0.64356435643564358	0.36633663366336633	0.73267326732673266	0.53787810667257674	0.73359157726676549	0.26640842273323451	0.46212189332742326	0.35999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	4500	180	0.044463387968599999	100	0.051056849651844004	0.0094687309984208354	0.0375271662718775	0.03835645261093	0.048887344380249997	0.068262066587415002	0.075549311489262444	73	27	27	0	0.73267326732673266	0.27722772277227725	0.5544554455445545	0.63198372709102513	0.81393357770925934	0.18606642229074064	0.36801627290897487	0.27000000000000002	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	10000	400	0.090839781581899995	100	0.10583772641420401	0.020142471206978606	0.075345957477287492	0.079062212544125002	0.10177686152900001	0.14312436904949999	0.15678802737669997	77	23	23	0	0.7722772277227723	0.23762376237623761	0.47524752475247523	0.67514126722489687	0.84826838869895249	0.15173161130104751	0.32485873277510308	0.23000000000000001	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
