unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	focal_status	focal_alt_count_full_sample	focal_alt_count_pair_panel	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	hom_ref_eligible	heterozygous_eligible	hom_alt_eligible	primary_shared_homozygote_eligible	exclusion_reason
eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	unique_exact_focal_site	44	23	2926	1771	253	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	unique_exact_focal_site	33	15	3570	1275	105	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	unique_exact_focal_site	46	24	2850	1824	276	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	ambiguous_exact_coordinate_collision	-1	-1	0	0	0	False	False	False	False	ambiguous_exact_coordinate_collision
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r006	EAS	neutral	0	2026083606	25	unique_exact_focal_site	40	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r007	EAS	neutral	0	2026083607	25	unique_exact_focal_site	38	19	3240	1539	171	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	unique_exact_focal_site	34	16	3486	1344	120	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	unique_exact_focal_site	36	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	unique_exact_focal_site	28	12	3828	1056	66	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r011	EAS	neutral	0	2026083611	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r012	EAS	neutral	0	2026083612	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	unique_exact_focal_site	40	20	3160	1600	190	True	True	True	True	
