schema	analysis_role	demography	statistic	threshold_years	observed_selected	n_neutral	minimum_attainable_p	neutral_mean	neutral_median	neutral_q025	neutral_q975	neutral_upper_extreme_count	neutral_lower_extreme_count	mc_p_upper	mc_p_lower	mc_p_two_sided	neutral_midrank_descriptive_auc	tail_contract	null_bank	pairing_unit
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	1000	0.033085894558232604	96	0.010309278350515464	0.019762628420759685	0.019242875718969408	-0.0024734777049392419	0.051258018580276794	15	81	0.16494845360824742	0.84536082474226804	0.32989690721649484	0.84375	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	4500	0.10150261184731164	96	0.010309278350515464	0.07835581075349346	0.077108848374174324	-0.020621810615267085	0.19823239517900565	30	66	0.31958762886597936	0.69072164948453607	0.63917525773195871	0.6875	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	10000	0.1838730322421005	96	0.010309278350515464	0.1445456602832563	0.14942396073263778	-0.041979585099866233	0.33418485601572662	34	62	0.36082474226804123	0.64948453608247425	0.72164948453608246	0.64583333333333337	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	20000	0.27790114670029703	96	0.010309278350515464	0.21523855648768575	0.22436144484604453	-0.061207966501166514	0.47455333828318935	34	62	0.36082474226804123	0.64948453608247425	0.72164948453608246	0.64583333333333337	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	30000	0.32790875465509983	96	0.010309278350515464	0.25198797208190488	0.26962056241283966	-0.072122632056585576	0.5512156962735727	36	60	0.38144329896907214	0.62886597938144329	0.76288659793814428	0.625	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	40000	0.35559210911305306	96	0.010309278350515464	0.27153123032966658	0.29919648591849857	-0.075639669861035846	0.58758921895831384	36	60	0.38144329896907214	0.62886597938144329	0.76288659793814428	0.625	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	50000	0.37187992276673498	96	0.010309278350515464	0.28158421572217218	0.31541179342473713	-0.09011727039370622	0.59543432400303054	35	61	0.37113402061855671	0.63917525773195871	0.74226804123711343	0.63541666666666663	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	Han	p_hom_alt_minus_hom_ref	1000	0.017711853990936607	63	0.015625	0.090367113586091757	0.061337689763042672	-0.0076625475974698553	0.44361547096739495	53	10	0.84375	0.171875	0.34375	0.15873015873015872	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	Han	p_hom_alt_minus_hom_ref	4500	0.05398387087018805	63	0.015625	0.26823839497612112	0.21228418566884541	0.0091427765593821431	0.80356452311762094	57	6	0.90625	0.109375	0.21875	0.095238095238095233	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	Han	p_hom_alt_minus_hom_ref	10000	0.099739484880679519	63	0.015625	0.40686373765717299	0.35242709879932899	0.044089103159183719	0.84198442507542604	60	3	0.953125	0.0625	0.125	0.047619047619047616	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
