schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	source	pairing_unit	statistic	threshold_years	score	n_pairs	n_valid_pairs	n_ref_pairs	n_alt_pairs	n_valid_ref_pairs	n_valid_alt_pairs
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	1000	1.3171791612504169e-10	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	4500	8.9131885399441349e-08	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	10000	5.2256523534788549e-06	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	20000	0.00012861438399484789	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	30000	0.00059403910970044543	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	40000	0.0014251278681605148	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_heterozygous	50000	0.0024710248936327278	1771	1771	0	0	0	0
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	1000	0.023373859702980095	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	4500	0.088452878096728915	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	10000	0.17589654854216508	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	20000	0.29607593871888582	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	30000	0.38626864638374314	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	40000	0.46035567554890383	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt	50000	0.52423192675803165	253	253	0	253	0	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt_minus_hom_ref	1000	0.011504727715124903	-1	-1	2926	253	2926	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt_minus_hom_ref	4500	0.033881851923636963	-1	-1	2926	253	2926	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt_minus_hom_ref	10000	0.060902614462662388	-1	-1	2926	253	2926	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt_minus_hom_ref	20000	0.094200006996563362	-1	-1	2926	253	2926	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt_minus_hom_ref	30000	0.12026589228153833	-1	-1	2926	253	2926	253
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r000	EAS	neutral	0	2026083600	25	retained_float32_gamma_posterior_posthoc	unordered_haplotype_pair_pseudodiploid	p_hom_alt_minus_hom_ref	40000	0.14609368064258854	-1	-1	2926	253	2926	253
