schema	estimand	cohort	source	window	threshold_years	threshold_generations	n_selected	n_neutral	mean_selected_score	median_selected_score	mean_neutral_score	median_neutral_score	mean_selected_minus_neutral	roc_auc	roc_auc_ci95_low	roc_auc_ci95_high	auc_permutation_exceedances	auc_permutation_p_upper	bootstrap_draws	bootstrap_seed	permutation_draws	permutation_seed	permutation_family	score_direction
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	1000	40.0	100	100	0.010344095526294101	0.008937074165480001	0.010760773096404198	0.010085494114455001	-0.000416677570110097	0.4758	0.39638249999999997	0.5557025	7247	0.7248	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	4500	180.0	100	100	0.030780742130548003	0.0291410327848	0.0324747270166689	0.03350321205215	-0.0016939848861208945	0.4566	0.37329500000000004	0.5354074999999999	8551	0.8552	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	10000	400.0	100	100	0.052379843738848006	0.051157476555	0.05607804278368301	0.056492162617850006	-0.003698199044835003	0.4359	0.35359250000000003	0.5128174999999999	9420	0.9421	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	20000	800.0	100	100	0.08038071677187097	0.0761021891976	0.08703704098333798	0.08713519031335	-0.006656324211467002	0.4208	0.34346750000000004	0.4994249999999999	9743	0.9744	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	30000	1200.0	100	100	0.10167215214466	0.09547005114905	0.11062443673244898	0.1115949832745	-0.008952284587788989	0.4163	0.33749250000000003	0.49620249999999994	9814	0.9815	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	40000	1600.0	100	100	0.11921554139048299	0.11342648189150001	0.130112955724283	0.1319561659545	-0.01089741433380001	0.4131	0.33449500000000004	0.491705	9852	0.9853	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	local_100kb	50000	2000.0	100	100	0.13425448532761902	0.1270734405345	0.14685745411357	0.148645795587	-0.012602968785950991	0.4098	0.33078749999999996	0.4885149999999999	9872	0.9873	2000	395102324936614380	9999	1097674833973031819	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	1000	40.0	100	100	0.010165186969714001	0.0089984465385	0.010970025399010002	0.01070709373	-0.0008048384292960002	0.4566	0.3717875	0.5382075	8525	0.8526	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	4500	180.0	100	100	0.029977089014420005	0.029198317464999998	0.03314556060433001	0.032188095755	-0.003168471589910002	0.4375	0.35647999999999996	0.5119025	9316	0.9317	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	10000	400.0	100	100	0.050759539947390006	0.048239194910000005	0.05689115676526	0.053687567815000004	-0.006131616817869993	0.422	0.34339749999999997	0.49840249999999997	9668	0.9669	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	20000	800.0	100	100	0.0775451412508	0.07236924647000001	0.0872794208156	0.082824886205	-0.009734279564799997	0.4193	0.3409	0.49510499999999996	9754	0.9755	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	30000	1200.0	100	100	0.09783503554279999	0.094184968265	0.10983202813320002	0.10185391355000001	-0.011996992590400032	0.4228	0.34289749999999997	0.5000049999999999	9705	0.9706	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	40000	1600.0	100	100	0.1145387209106	0.1086026883	0.12813938105689998	0.11959488135	-0.013600660146299987	0.4297	0.34968	0.5077025000000001	9579	0.958	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	50000	2000.0	100	100	0.128889741923	0.1201190613	0.143697018047	0.13546367609999999	-0.014807276123999985	0.4364	0.3571725	0.5132025	9394	0.9395	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	1000	40.0	100	100	0.00273809523809531	0.0	0.0030857142857143006	0.0	-0.00034761904761899075	0.4882	0.42519250000000003	0.55140125	6424	0.6425	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
