schema	estimand	source	window	threshold_years	threshold_generations	af_stratum_width	common_strata	af_stratum_definition	n_selected_total	n_neutral_total	n_selected_common_support	n_neutral_common_support	n_comparable_selected_neutral_pairs	roc_auc	roc_auc_ci95_low	roc_auc_ci95_high	auc_permutation_exceedances	auc_permutation_p_upper	bootstrap_draws	bootstrap_seed	permutation_draws	permutation_seed	permutation_method	interpretation	score_direction
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	1000	40.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.5055986218776917	0.4099913867355728	0.6003660637381566	4584	0.4585	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	4500	180.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.4694229112833764	0.3763781223083548	0.5581610680447888	7304	0.7305	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	10000	400.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.46339362618432384	0.37037037037037035	0.5546942291128337	7718	0.7719	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	20000	800.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.45305770887166236	0.3574289405684754	0.5503875968992248	8309	0.831	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	30000	1200.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.45219638242894056	0.35745047372954347	0.5521102497846684	8372	0.8373	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	40000	1600.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.4444444444444444	0.3505383290267011	0.5443583118001722	8708	0.8709	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	50000	2000.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.4427217915590009	0.3479543496985357	0.5426356589147286	8782	0.8783	2000	12559818524368420059	9999	7981534282655502049	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	focal	1000	40.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.4892334194659776	0.3901593453919035	0.5848406546080964	5794	0.5795	2000	15563342265013360273	9999	3997468325603121776	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	focal	4500	180.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.4702842377260982	0.37553832902670115	0.5642118863049094	7189	0.719	2000	15563342265013360273	9999	3997468325603121776	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	focal	10000	400.0	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	100	100	97	100	1161	0.4487510766580534	0.35142118863049093	0.540913006029285	8502	0.8503	2000	15563342265013360273	9999	3997468325603121776	within_sample_af_stratum_whole_unit_labels_plus_one	secondary incremental genealogy analysis; not the total natural-selection effect	larger_is_more_selected_no_flipping
