simulation_class	demography_id	target_allele_frequency	selection_coefficient	statistic_scope	metric	statistic	threshold_years	n_units	mean_tree_truth	mean_gamma_smc	bias_gamma_minus_truth	mae	rmse	pearson_r	spearman_rho	sign_agreement_fraction	truth_positive_fraction	gamma_positive_fraction
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	100	30075.2329668	18593.9538054	-11481.2791613	15404.866532	22583.0015872	0.284806403377	0.334881488149	0.97	1	0.97
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	100	0	0.000456714399272	0.000456714399272	0.000456714399272	0.00357806182374			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	100	0.599120833333	0.504580589737	-0.0945402435962	0.150130410009	0.196177387887	0.748721595013	0.719861760882	0.98	0.98	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	100	0.515264092782	0.407411912578	-0.107852180204	0.158797339999	0.208118584124	0.73971764501	0.706138613861	0.93	0.98	0.91
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	100	0.0838567405511	0.097168677159	0.0133119366079	0.0254423256547	0.0365550450673	0.518581247803	0.539969997	1	1	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	normalized_cdf_area	cdf_area_overall	0	100	0.0821875	0.0909937439166	0.00880624391657	0.0207704513314	0.0292661177213	0.535134830447	0.53133026126	1	1	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	100	0	1.13928750387e-08	1.13928750387e-08	1.13928750387e-08	8.37694404141e-08			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	100	0	3.29547713134e-06	3.29547713134e-06	3.29547713134e-06	2.68056118301e-05			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	100	0	5.45635675437e-05	5.45635675437e-05	5.45635675437e-05	0.000481425059707			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	100	0	0.000323048020239	0.000323048020239	0.000323048020239	0.00282528954099			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	100	0	0.000605341793969	0.000605341793969	0.000605341793969	0.00500865350442			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	100	0	0.000811245198061	0.000811245198061	0.000811245198061	0.00622934616126			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	100	0	0.00100032938228	0.00100032938228	0.00100032938228	0.00703554296741			0	0	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	100	0.035	0.110417856515	0.0754178565153	0.0809639843133	0.136626666022	0.659463970069	0.416387435783	0.08	0.08	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	100	0.140833333333	0.266495349898	0.125662016565	0.172998948253	0.23495512892	0.667974014042	0.615627219964	0.27	0.27	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	100	0.3325	0.396094013022	0.0635940130218	0.207150734586	0.279624485958	0.638970909388	0.587560792684	0.56	0.56	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	20000	100	0.574166666667	0.518274722995	-0.0558919436717	0.196610766129	0.273957875145	0.686945108728	0.671835584232	0.81	0.81	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	30000	100	0.76	0.586666257565	-0.173333742435	0.219925040602	0.310672447792	0.655639488684	0.580700368032	0.91	0.91	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	40000	100	0.868333333333	0.632789211497	-0.235544121837	0.263848828607	0.362572244457	0.487137843905	0.428015127538	0.96	0.96	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	50000	100	0.928333333333	0.666865942734	-0.261467390599	0.266084461504	0.373783613208	0.426559781641	0.39689539219	0.98	0.98	1
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	100	0.0317234442998	0.0979546274403	0.0662311831405	0.076279430347	0.131403355158	0.657533641807	0.323191205543	0.32	0.08	0.76
neutral	ancient_eurasia_han_introgression	0.1	0	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	100	0.123084078474	0.230375008231	0.107290929757	0.164093361768	0.225175336169	0.667482517854	0.478514629338	0.42	0.27	0.83
