base_specification_id	selection_coefficient	target_allele_frequency	source	genotype_class	threshold_years	n_observed_replicates	mean_p_tmrca_lt_threshold	median_p_tmrca_lt_threshold	sample_sd_p_tmrca_lt_threshold	q25_p_tmrca_lt_threshold	q75_p_tmrca_lt_threshold	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	conditioning_missingness
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	1000.0	10	4.85905794e-09	0.0	1.5365690373125786e-08	0.0	0.0	0.0	1.4577173820000001e-08	5000	1725216384	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	4500.0	10	7.873508915256608e-07	0.0	2.489822134895091e-06	0.0	0.0	0.0	2.362052674525661e-06	5000	155235515	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	10000.0	10	1.0719713421683971e-05	0.0	3.389871020060865e-05	0.0	3.9703394519999995e-16	0.0	3.215914022168397e-05	5000	1377832519	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	20000.0	10	9.1224274662967e-05	5.88555634e-16	0.00028847646157721197	0.0	7.031794755785e-13	8.405190379450005e-16	0.00027367281027654473	5000	564050572	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	30000.0	10	0.0002906880369249481	7.129837153438e-14	0.0009192356210801742	0.0	5.0070904830999996e-11	8.21351739214541e-14	0.0008720639083768314	5000	1303105415	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	40000.0	10	0.0006228606358475622	2.021784116392e-12	0.0019696515646806505	5.1157779425e-16	9.573913204095e-10	2.735051786227404e-12	0.0018685782159323936	5000	648702236	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	heterozygous	50000.0	10	0.0010780134859077121	2.600168649165e-11	0.0034089385658474585	1.29010637175e-14	8.91212647048e-09	2.5899303099168264e-11	0.0032340192525667647	5000	1154099620	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	hom_alt	1000.0	10	0.036180095357	0.016632986155	0.04259890734732291	0.0065633728055000005	0.0492914887575	0.013811211318929997	0.06318376449386248	5000	2015085557	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	hom_alt	4500.0	10	0.113536275363	0.065570411245	0.1233330151158764	0.0312356518475	0.14039531867500002	0.053693668433650005	0.1917891840283999	5000	983508934	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	hom_alt	10000.0	10	0.182109613301	0.11984305849999999	0.1516481888075607	0.07805864379500001	0.2435871129	0.10364326698010001	0.28300980575337503	5000	652464676	nonrandom
