base_specification_id	selection_coefficient	target_allele_frequency	source	metric	expected_sweep_sign	target_replicates	accepted_replicates	decoded_replicates	n_observed_replicates	mean	median	sample_sd	q25	q75	iqr	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	expected_sign_count	expected_sign_rate	expected_sign_wilson95_low	expected_sign_wilson95_high	conditioning_missingness
intro_s0p010_af10	0.01	0.1	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	3	3	3	0.2569185796269728	0.3818292682926829	0.5118772182324149	0.037988163558106136	0.5383043400286944	0.5003161764705883	-0.30585294117647055	0.6947794117647059	5000	1882843229	2	0.6666666666666666	0.2076596008020477	0.9385080552796037	nonrandom
intro_s0p010_af10	0.01	0.1	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	3	3	3	-32609.428833298032	-37499.016360377034	19594.884874856714	-43397.76089700587	-24265.890533129692	19131.87036387618	-49296.50543363471	-11032.764705882355	5000	1026215553	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af10	0.01	0.1	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	3	3	3	0.4579960440097759	0.5783465157928779	0.2700062727120471	0.3635443004467889	0.612623023464314	0.24907872301752504	0.14874208510069997	0.6468995311357499	5000	2083079145	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af10	0.01	0.1	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	3	3	3	-27523.448155066668	-33905.8325612	12819.204347114615	-34902.2284371	-23335.860076099998	11566.368361	-35898.624313	-12765.887591	5000	665595813	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af20	0.01	0.2	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	3	3	3	0.07567402598115053	0.008536585365853722	0.33645378263900994	-0.10680626872058191	0.22458560037523456	0.33139186909581647	-0.2221491228070175	0.4406346153846154	5000	893700255	2	0.6666666666666666	0.2076596008020477	0.9385080552796037	nonrandom
intro_s0p010_af20	0.01	0.2	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	3	3	3	-13930.714004614116	-9863.795307988808	16430.279612599556	-20938.154340254507	-4889.81432066107	16048.340019593437	-32012.513372520207	84.16666666666674	5000	1803876581	2	0.6666666666666666	0.2076596008020477	0.9385080552796037	nonrandom
intro_s0p010_af20	0.01	0.2	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	3	3	3	0.05029086945273337	-0.07310177193434997	0.23541813344204277	-0.08544102365557496	0.12432644186750003	0.209767465523075	-0.09778027537679995	0.32175465566935	5000	1430119144	1	0.3333333333333333	0.06149194472039621	0.7923403991979522	nonrandom
intro_s0p010_af20	0.01	0.2	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	3	3	3	-10924.073059666667	-15082.356657999999	9311.655388970985	-16257.198262499998	-7670.089656	8587.108606499998	-17432.039867	-257.82265400000006	5000	381452001	3	1.0	0.4385029682449546	1.0	nonrandom
intro_s0p010_af30	0.01	0.3	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	5	5	5	0.3295540245823828	0.34298507462686567	0.2073838221225026	0.1444242424242424	0.43469230769230766	0.29026806526806526	0.1717769683053265	0.5044797441364606	5000	2003497192	5	1.0	0.5655175352168251	1.0	nonrandom
intro_s0p010_af30	0.01	0.3	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	5	5	5	-13797.643119232573	-5112.948717948718	14612.321720366386	-28233.14468989863	-2996.0	25237.14468989863	-24947.606728580973	-2811.5867585151163	5000	2094588470	5	1.0	0.5655175352168251	1.0	nonrandom
intro_s0p010_af30	0.01	0.3	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	5	5	5	0.2081931912581921	0.09476033783486507	0.21210823195154246	0.07074557357635	0.37915925874095	0.3084136851646	0.05026984066921303	0.38323212263918716	5000	186604630	5	1.0	0.5655175352168251	1.0	nonrandom
