specification_id	error_type	error	status
intro_s0p001_af10__rep001			complete
intro_s0p001_af10__rep002			complete
intro_s0p001_af10__rep003			complete
intro_s0p001_af10__rep004			complete
intro_s0p001_af10__rep005			complete
intro_s0p001_af10__rep006			complete
intro_s0p001_af10__rep007			complete
intro_s0p001_af10__rep008			complete
intro_s0p001_af10__rep009			complete
intro_s0p001_af10__rep010			complete
intro_s0p001_af20__rep001			complete
intro_s0p001_af20__rep002			complete
intro_s0p001_af20__rep003			complete
intro_s0p001_af20__rep004			complete
intro_s0p001_af20__rep005			complete
intro_s0p001_af20__rep006			complete
intro_s0p001_af20__rep007			complete
intro_s0p001_af20__rep008			complete
intro_s0p001_af20__rep009			complete
intro_s0p001_af20__rep010			complete
intro_s0p001_af30__rep001			complete
intro_s0p001_af30__rep002			complete
intro_s0p001_af30__rep003			complete
intro_s0p001_af30__rep004			complete
intro_s0p001_af30__rep005			complete
intro_s0p001_af30__rep006			complete
intro_s0p001_af30__rep007			complete
intro_s0p001_af30__rep008			complete
intro_s0p001_af30__rep009			complete
intro_s0p001_af30__rep010			complete
intro_s0p001_af40__rep001			complete
intro_s0p001_af40__rep002	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af40__rep003			complete
intro_s0p001_af40__rep004			complete
intro_s0p001_af40__rep005			complete
intro_s0p001_af40__rep006			complete
intro_s0p001_af40__rep007	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af40__rep008			complete
intro_s0p001_af40__rep009			complete
intro_s0p001_af40__rep010			complete
intro_s0p001_af50__rep001			complete
intro_s0p001_af50__rep002	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af50__rep003			complete
intro_s0p001_af50__rep004	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af50__rep005	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af50__rep006	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af50__rep007	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af50__rep008			complete
intro_s0p001_af50__rep009			complete
intro_s0p001_af50__rep010			complete
intro_s0p001_af60__rep001	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af60__rep002	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
intro_s0p001_af60__rep003	ValueError	simulation is incomplete, corrupt, or incompatible with the current specification/runtime contract	not_simulated
