specification_id	selection_coefficient	demography_curve	target_allele_frequency	deterministic_feasible_from_fixed_archaic_source	declared_timeout_seconds	effective_timeout_seconds	elapsed_seconds	cumulative_elapsed_seconds	invocation_count	invocation_history_valid	invocation_history_error	latest_invocation_status	latest_invocation_error	completed_external_draws	launched_external_draws	interrupted_internal_conditioned_trajectories	last_completed_draw_sample_af	last_completed_draw_accepted	detail	status
intro_s0p010_af10__rep001	0.01		0.1	True	300.0	300.0	142.01942049999707	1342.261537599934	5	True		cached		3	7	4	0.915	True		complete
intro_s0p010_af20__rep001	0.01		0.2	True	300.0	300.0	153.07004340004642	454.1724055000813	2	True		cached		1	2	1	0.47	True		complete
intro_s0p010_af30__rep001	0.01		0.3	True	300.0	0.0	0.0	1800.0134121000228	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af40__rep001	0.01		0.4	True	300.0	0.0	0.0	1800.047317199951	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af50__rep001	0.01		0.5	True	300.0	0.0	0.0	1800.0660683000133	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	2	8	5	0.955	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af60__rep001	0.01		0.6	True	300.0	300.0	280.7238417000008	889.493223799971	3	True		cached		1	3	2	0.745	True		complete
intro_s0p010_af70__rep001	0.01		0.7	True	300.0	0.0	0.0	1800.209995299956	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af80__rep001	0.01		0.8	True	300.0	0.0	0.0	1800.0022540999744	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.94	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af90__rep001	0.01		0.9	True	300.0	0.0	0.0	1800.0446443999936	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p005_af10__rep001	0.005		0.1	True	300.0	300.0	66.44869639998069	66.44869639998069	1	True		cached		1	1	0	0.465	True		complete
