# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	78
0	1
2	3
4	5
6	7
8	9
10	11
14	15
16	17
20	21
22	23
26	27
28	29
30	31
32	33
34	35
36	37
38	39
40	41
42	43
44	45
46	47
50	51
52	53
54	55
56	57
62	63
64	65
66	67
68	69
72	73
74	75
76	77
78	79
82	83
84	85
86	87
90	91
92	93
94	95
98	99
100	101
102	103
108	109
110	111
116	117
120	121
122	123
126	127
128	129
132	133
136	137
138	139
140	141
142	143
144	145
146	147
148	149
150	151
152	153
154	155
156	157
158	159
160	161
162	163
166	167
168	169
170	171
174	175
176	177
178	179
180	181
182	183
184	185
186	187
190	191
192	193
194	195
198	199
