# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	58
4	5
10	11
14	15
16	17
18	19
20	21
22	23
34	35
36	37
38	39
42	43
44	45
56	57
58	59
62	63
64	65
70	71
72	73
78	79
80	81
82	83
86	87
88	89
90	91
92	93
96	97
100	101
102	103
104	105
110	111
112	113
114	115
116	117
118	119
126	127
128	129
132	133
134	135
138	139
140	141
144	145
146	147
148	149
150	151
152	153
154	155
156	157
158	159
162	163
168	169
170	171
172	173
176	177
184	185
188	189
190	191
194	195
196	197
