# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	64
0	1
4	5
6	7
8	9
10	11
14	15
16	17
18	19
22	23
24	25
26	27
28	29
32	33
36	37
38	39
40	41
46	47
48	49
52	53
56	57
58	59
60	61
62	63
66	67
68	69
70	71
74	75
76	77
78	79
80	81
82	83
86	87
88	89
90	91
92	93
94	95
96	97
98	99
100	101
102	103
104	105
106	107
110	111
114	115
120	121
124	125
136	137
142	143
148	149
150	151
152	153
154	155
160	161
168	169
172	173
174	175
176	177
180	181
182	183
184	185
188	189
190	191
192	193
196	197
