source	position_0based	contrast_scope	alt_minus_ref_normalized_cdf_auc	alt_minus_ref_mean_tmrca_generations	alt_minus_ref_mean_tmrca_years	expected_sweep_sign_normalized_cdf_auc	expected_sweep_sign_mean_tmrca	base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.11533333333333334	-17677.249104813403	-441931.22762033506	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep001	1	intro_s0p001_af10__rep001	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.1960398587164	-14333.039845	-358325.996125	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep001	1	intro_s0p001_af10__rep001	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.17762820512820515	-16085.76923076923	-402144.23076923075	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep002	2	intro_s0p001_af10__rep002	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.08364029465572502	-15795.146151	-394878.653775	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep002	2	intro_s0p001_af10__rep002	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.31913793103448285	-50072.42485231413	-1251810.6213078531	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep003	3	intro_s0p001_af10__rep003	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.195584069996245	-27448.193325	-686204.833125	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep003	3	intro_s0p001_af10__rep003	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.19068681318681324	-9377.142857142857	-234428.57142857142	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep004	4	intro_s0p001_af10__rep004	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.37277733027225	-16653.026208	-416325.6552	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep004	4	intro_s0p001_af10__rep004	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.14662898936170216	-21830.661896613463	-545766.5474153366	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep005	5	intro_s0p001_af10__rep005	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.2102714628845	-14796.977157	-369924.42892499996	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep005	5	intro_s0p001_af10__rep005	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.30000000000000004	-26140.37978163598	-653509.4945408995	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep006	6	intro_s0p001_af10__rep006	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.19075488437724497	-19453.270061	-486331.75152499997	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep006	6	intro_s0p001_af10__rep006	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.6252966101694916	-24304.65946278878	-607616.4865697195	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep007	7	intro_s0p001_af10__rep007	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.5372581219532649	-21783.365912	-544584.1478	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep007	7	intro_s0p001_af10__rep007	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.261	-27992.80324135998	-699820.0810339994	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep008	8	intro_s0p001_af10__rep008	0.001	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.23690560407430003	-15996.188626999998	-399904.7156749999	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep008	8	intro_s0p001_af10__rep008	0.001	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.018196457326892124	-19440.355339059748	-486008.8834764937	positive	negative	intro_s0p001_af10	intro_s0p001_af10__rep009	9	intro_s0p001_af10__rep009	0.001	0.1
