summary_scope	aggregation_weighting	is_headline	minimum_paired_replicates_per_cell	n_total_biological_cells	n_biological_cells_with_pairs	n_biological_cells_meeting_minimum	n_biological_cells_in_detection_rate	base_specification_id	selection_coefficient	target_allele_frequency	metric	n_paired_replicates	tree_truth_mean	gamma_smc_mean	gamma_minus_truth_bias	mae	rmse	pearson	spearman	truth_expected_sign_count	truth_expected_sign_rate	truth_expected_sign_wilson95_low	truth_expected_sign_wilson95_high	gamma_expected_sign_count	gamma_expected_sign_rate	gamma_expected_sign_wilson95_low	gamma_expected_sign_wilson95_high	raw_truth_gamma_sign_agreement_count	raw_truth_gamma_sign_agreement_rate	raw_truth_gamma_sign_agreement_wilson95_low	raw_truth_gamma_sign_agreement_wilson95_high	truth_expected_sign_denominator	gamma_detection_given_truth_expected_sign_count	gamma_detection_given_truth_expected_sign_rate	gamma_detection_given_truth_expected_sign_wilson95_low	gamma_detection_given_truth_expected_sign_wilson95_high	interval_method	raw_sign_agreement_rule	detection_rule	pairing_rule
overall_macro_cell_equal	biological_cell_equal_among_cells_with_n_paired>=2	True	2.0	27	24	22.0	21				alt_minus_ref_normalized_cdf_auc	153	0.09799110559500823	0.11840626399061299	0.02041515839560478	0.1125788039272352	0.13381524312305282				0.7356060606060606				0.7356060606060608				0.8765151515151516					0.9189153439153438			not_computed_for_macro_cell_equal	sign(tree_truth)==sign(gamma_smc)	Equal-cell mean of within-cell Gamma expected-sign rates among cells whose tree-truth expected-sign denominator is nonzero	one_truth_and_one_gamma_value_per_replicate_then_equal_cell_macro
overall_macro_cell_equal	biological_cell_equal_among_cells_with_n_paired>=2	True	2.0	27	24	22.0	22				alt_minus_ref_mean_tmrca_generations	153	-22703.736424571238	-13760.737852079432	8942.998572491806	12466.84323632167	16289.131561362523				0.8803030303030304				0.8704545454545454				0.9143939393939394					0.9506313131313131			not_computed_for_macro_cell_equal	sign(tree_truth)==sign(gamma_smc)	Equal-cell mean of within-cell Gamma expected-sign rates among cells whose tree-truth expected-sign denominator is nonzero	one_truth_and_one_gamma_value_per_replicate_then_equal_cell_macro
overall_micro_trajectory_weighted	accepted_trajectory_equal_micro_secondary	False		27	24		24				alt_minus_ref_normalized_cdf_auc	155	0.09908250601557413	0.10882156245316572	0.009739056437591596	0.10380825904249404	0.13666572950360245	0.8499738660434989	0.7857980728948472	118.0	0.7612903225806451	0.688376411529281	0.8215660216451439	116.0	0.7483870967741936	0.6746299987685338	0.8101300920269074	137.0	0.8838709677419355	0.823906677570482	0.9252680082042908	118.0	108.0	0.9152542372881356	0.8510066169479545	0.9533173048808213	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
overall_micro_trajectory_weighted	accepted_trajectory_equal_micro_secondary	False		27	24		24				alt_minus_ref_mean_tmrca_generations	155	-23198.002792446707	-13516.557758625484	9681.445033821223	12835.271607663159	18736.344546993427	0.643538869500938	0.6549192742741129	141.0	0.9096774193548387	0.8541051863055469	0.9454341842271936	136.0	0.8774193548387097	0.8164801826833787	0.9201033319019019	144.0	0.9290322580645162	0.877399248885797	0.9599136352154195	141.0	133.0	0.9432624113475178	0.8920396844298962	0.9709728881978293	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af10	0.01	0.1	alt_minus_ref_normalized_cdf_auc	3	0.2569185796269728	0.4579960440097759	0.2010774643828032	0.2786993950306886	0.31116742622154425	0.905622005943426	0.5	2.0	0.6666666666666666	0.2076596008020477	0.9385080552796037	3.0	1.0	0.4385029682449546	1.0	2.0	0.6666666666666666	0.2076596008020477	0.9385080552796037	2.0	2.0	1.0	0.34238022750665303	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af20	0.01	0.2	alt_minus_ref_normalized_cdf_auc	3	0.07567402598115053	0.05029086945273337	-0.02538315652841716	0.12474805711019554	0.12603019810378252	0.9201414929192924	0.5	2.0	0.6666666666666666	0.2076596008020477	0.9385080552796037	1.0	0.3333333333333333	0.06149194472039621	0.7923403991979522	2.0	0.6666666666666666	0.2076596008020477	0.9385080552796037	2.0	1.0	0.5	0.09453120573423074	0.9054687942657693	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af30	0.01	0.3	alt_minus_ref_normalized_cdf_auc	5	0.3295540245823828	0.2081931912581921	-0.12136083332419068	0.12136083332419068	0.1652920921630525	0.8213259799030833	0.6	5.0	1.0	0.5655175352168251	1.0	5.0	1.0	0.5655175352168251	1.0	5.0	1.0	0.5655175352168251	1.0	5.0	5.0	1.0	0.5655175352168251	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af40	0.01	0.4	alt_minus_ref_normalized_cdf_auc	4	0.21479067830490403	0.18161060102906879	-0.03318007727583524	0.1439626235216352	0.16204535946998325	0.9455542125599491	1.0	3.0	0.75	0.30064184258240184	0.9544127391902995	3.0	0.75	0.30064184258240184	0.9544127391902995	4.0	1.0	0.5101091635454027	1.0	3.0	3.0	1.0	0.4385029682449546	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af50	0.01	0.5	alt_minus_ref_normalized_cdf_auc	1	0.5172445820433437	0.1616096214485	-0.3556349605948437	0.3556349605948437	0.3556349605948437			1.0	1.0	0.20654931437723745	1.0	1.0	1.0	0.20654931437723745	1.0	1.0	1.0	0.20654931437723745	1.0	1.0	1.0	1.0	0.20654931437723745	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af60	0.01	0.6	alt_minus_ref_normalized_cdf_auc	3	0.4083974058446633	0.35710643455291907	-0.0512909712917442	0.06697005948782564	0.07412489909404522	-0.24503210417864768	0.5	3.0	1.0	0.4385029682449546	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	1.0	0.4385029682449546	1.0	3.0	3.0	1.0	0.4385029682449546	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af70	0.01	0.7	alt_minus_ref_normalized_cdf_auc	2	-0.05171892655367227	0.0408874706236074	0.09260639717727967	0.155544274612292	0.18102476671113316	1.0	0.9999999999999999	1.0	0.5	0.09453120573423074	0.9054687942657693	1.0	0.5	0.09453120573423074	0.9054687942657693	2.0	1.0	0.34238022750665303	1.0	1.0	1.0	1.0	0.20654931437723745	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p010_af80	0.01	0.8	alt_minus_ref_normalized_cdf_auc	2	0.04403333333333331	0.052397163917606765	0.008363830584273452	0.03990296461574008	0.04077009010497074	0.9999999999999999	0.9999999999999999	1.0	0.5	0.09453120573423074	0.9054687942657693	1.0	0.5	0.09453120573423074	0.9054687942657693	2.0	1.0	0.34238022750665303	1.0	1.0	1.0	1.0	0.20654931437723745	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	0		0	intro_s0p010_af90	0.01	0.9	alt_minus_ref_normalized_cdf_auc	0								0.0				0.0				0.0				0.0	0.0				wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af10	0.005	0.1	alt_minus_ref_normalized_cdf_auc	10	0.013745496655820972	0.0666313800603143	0.052885883404493364	0.1224400495180796	0.16773827773527655	0.7170057649765615	0.5151515151515151	5.0	0.5	0.236593090512564	0.7634069094874361	7.0	0.7	0.39677814746114537	0.8922087325936989	8.0	0.8	0.49016247153664183	0.9433178485456247	5.0	5.0	1.0	0.5655175352168251	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af20	0.005	0.2	alt_minus_ref_normalized_cdf_auc	10	0.13001199991171913	0.14825453840187652	0.018242538490157396	0.07058077129582778	0.08293895759764026	0.9547460762598241	0.6363636363636362	9.0	0.9	0.5958499732047615	0.9821237869049271	8.0	0.8	0.49016247153664183	0.9433178485456247	9.0	0.9	0.5958499732047615	0.9821237869049271	9.0	8.0	0.8888888888888888	0.5650002944233439	0.9801091123614551	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af30	0.005	0.3	alt_minus_ref_normalized_cdf_auc	10	0.09042912088372718	0.08876114501871415	-0.0016679758650130008	0.09959108619831339	0.11493152586626344	0.8847934844710986	0.8303030303030302	7.0	0.7	0.39677814746114537	0.8922087325936989	7.0	0.7	0.39677814746114537	0.8922087325936989	10.0	1.0	0.7224672001371107	0.9999999999999999	7.0	7.0	1.0	0.6456695649333126	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af40	0.005	0.4	alt_minus_ref_normalized_cdf_auc	10	0.08539069137449559	0.08845388514352698	0.003063193769031394	0.07883352955755187	0.09534271872178234	0.8904497688488249	0.8666666666666665	6.0	0.6	0.31267376973365824	0.8318196702937638	7.0	0.7	0.39677814746114537	0.8922087325936989	9.0	0.9	0.5958499732047615	0.9821237869049271	6.0	6.0	1.0	0.6096657120978346	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af50	0.005	0.5	alt_minus_ref_normalized_cdf_auc	10	0.11908858863219582	0.14454101780412698	0.025452429171931173	0.07672306427156259	0.09125235975372922	0.0220282741535566	0.01818181818181818	10.0	1.0	0.7224672001371107	0.9999999999999999	10.0	1.0	0.7224672001371107	0.9999999999999999	10.0	1.0	0.7224672001371107	0.9999999999999999	10.0	10.0	1.0	0.7224672001371107	0.9999999999999999	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af60	0.005	0.6	alt_minus_ref_normalized_cdf_auc	10	0.020683191849331352	0.03720547594600946	0.01652228409667811	0.08836569276000368	0.10638612204156714	0.9116491344507796	0.8787878787878788	5.0	0.5	0.236593090512564	0.7634069094874361	5.0	0.5	0.236593090512564	0.7634069094874361	8.0	0.8	0.49016247153664183	0.9433178485456247	5.0	4.0	0.8	0.37553462976252533	0.9637758913675698	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af70	0.005	0.7	alt_minus_ref_normalized_cdf_auc	10	0.03326106691074878	0.09221497940558146	0.05895391249483267	0.15120867455425618	0.19026649041058907	0.8294547703424693	0.6	8.0	0.8	0.49016247153664183	0.9433178485456247	7.0	0.7	0.39677814746114537	0.8922087325936989	9.0	0.9	0.5958499732047615	0.9821237869049271	8.0	7.0	0.875	0.5291118177871464	0.9775825085499433	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p005_af80	0.005	0.8	alt_minus_ref_normalized_cdf_auc	10	-0.01072304008593986	0.014059190248354942	0.024782230334294796	0.05744457783420083	0.0813766562414335	0.9740057933940595	0.7939393939393938	6.0	0.6	0.31267376973365824	0.8318196702937638	6.0	0.6	0.31267376973365824	0.8318196702937638	10.0	1.0	0.7224672001371107	0.9999999999999999	6.0	6.0	1.0	0.6096657120978346	1.0	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		0	intro_s0p005_af90	0.005	0.9	alt_minus_ref_normalized_cdf_auc	4	-0.43192929606146324	-0.2205926657656087	0.2113366302958546	0.2113366302958546	0.27498775133129777	0.8740627946830892	0.7999999999999999	0.0	0.0	0.0	0.4898908364545973	2.0	0.5	0.15003898915214947	0.8499610108478506	2.0	0.5	0.15003898915214947	0.8499610108478506	0.0	0.0				wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af10	0.001	0.1	alt_minus_ref_normalized_cdf_auc	10	0.2393364604316334	0.20895043118456655	-0.030386029247066924	0.09567393244532718	0.1072482096083665	0.7689071559744013	0.406060606060606	10.0	1.0	0.7224672001371107	0.9999999999999999	9.0	0.9	0.5958499732047615	0.9821237869049271	9.0	0.9	0.5958499732047615	0.9821237869049271	10.0	9.0	0.9	0.5958499732047615	0.9821237869049271	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af20	0.001	0.2	alt_minus_ref_normalized_cdf_auc	10	0.1845444726862207	0.11670696713690942	-0.06783750554931128	0.12486675236356304	0.13359600078586287	0.596252879536248	0.5757575757575757	10.0	1.0	0.7224672001371107	0.9999999999999999	8.0	0.8	0.49016247153664183	0.9433178485456247	8.0	0.8	0.49016247153664183	0.9433178485456247	10.0	8.0	0.8	0.49016247153664183	0.9433178485456247	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af30	0.001	0.3	alt_minus_ref_normalized_cdf_auc	10	0.15470105746024662	0.1163487667135588	-0.03835229074668781	0.0601461907256967	0.08763721778981834	0.7678762404647885	0.8666666666666665	10.0	1.0	0.7224672001371107	0.9999999999999999	9.0	0.9	0.5958499732047615	0.9821237869049271	9.0	0.9	0.5958499732047615	0.9821237869049271	10.0	9.0	0.9	0.5958499732047615	0.9821237869049271	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
cell	trajectory_equal_within_biological_cell	False		1	1		1	intro_s0p001_af40	0.001	0.4	alt_minus_ref_normalized_cdf_auc	8	0.09790300924657432	0.10530766993322438	0.007404660686650043	0.04729286067332439	0.057435290610414046	0.912868053912428	0.7380952380952381	6.0	0.75	0.40927543031016883	0.9285207872478909	6.0	0.75	0.40927543031016883	0.9285207872478909	6.0	0.75	0.40927543031016883	0.9285207872478909	6.0	5.0	0.8333333333333334	0.43649717781352987	0.9699466302516935	wilson_trajectory_binomial	sign(tree_truth)==sign(gamma_smc)	Gamma has expected sweep sign among replicates whose tree truth has the expected sweep sign; jointly wrong signs never enter the numerator or denominator	one_truth_and_one_gamma_value_per_replicate
