base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency	metric	gamma_smc	tree_truth	tree_truth_expected_sign	gamma_smc_expected_sign	raw_truth_gamma_sign_agreement	gamma_detected_given_truth_expected_sign
intro_s0p001_af10	intro_s0p001_af10__rep001	1	intro_s0p001_af10__rep001	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-14333.039845	-17677.249104813403	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep001	1	intro_s0p001_af10__rep001	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.1960398587164	0.11533333333333334	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep002	2	intro_s0p001_af10__rep002	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-15795.146151	-16085.76923076923	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep002	2	intro_s0p001_af10__rep002	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.08364029465572502	0.17762820512820515	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep003	3	intro_s0p001_af10__rep003	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-27448.193325	-50072.42485231413	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep003	3	intro_s0p001_af10__rep003	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.195584069996245	0.31913793103448285	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep004	4	intro_s0p001_af10__rep004	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-16653.026208	-9377.142857142857	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep004	4	intro_s0p001_af10__rep004	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.37277733027225	0.19068681318681324	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep005	5	intro_s0p001_af10__rep005	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-14796.977157	-21830.661896613463	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep005	5	intro_s0p001_af10__rep005	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.2102714628845	0.14662898936170216	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep006	6	intro_s0p001_af10__rep006	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-19453.270061	-26140.37978163598	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep006	6	intro_s0p001_af10__rep006	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.19075488437724497	0.30000000000000004	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep007	7	intro_s0p001_af10__rep007	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-21783.365912	-24304.65946278878	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep007	7	intro_s0p001_af10__rep007	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.5372581219532649	0.6252966101694916	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep008	8	intro_s0p001_af10__rep008	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-15996.188626999998	-27992.80324135998	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep008	8	intro_s0p001_af10__rep008	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.23690560407430003	0.261	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep009	9	intro_s0p001_af10__rep009	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-7167.8502499999995	-19440.355339059748	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep009	9	intro_s0p001_af10__rep009	0.001	0.1	alt_minus_ref_normalized_cdf_auc	-0.011832816772465019	0.018196457326892124	True	False	False	False
intro_s0p001_af10	intro_s0p001_af10__rep010	10	intro_s0p001_af10__rep010	0.001	0.1	alt_minus_ref_mean_tmrca_generations	-11902.134489999999	-18575.11199097637	True	True	True	True
intro_s0p001_af10	intro_s0p001_af10__rep010	10	intro_s0p001_af10__rep010	0.001	0.1	alt_minus_ref_normalized_cdf_auc	0.07810550168819999	0.23945626477541376	True	True	True	True
intro_s0p001_af20	intro_s0p001_af20__rep001	1	intro_s0p001_af20__rep001	0.001	0.2	alt_minus_ref_mean_tmrca_generations	-13174.062280000002	-37546.09164938511	True	True	True	True
intro_s0p001_af20	intro_s0p001_af20__rep001	1	intro_s0p001_af20__rep001	0.001	0.2	alt_minus_ref_normalized_cdf_auc	0.22450160963703505	0.23774475524475527	True	True	True	True
intro_s0p001_af20	intro_s0p001_af20__rep002	2	intro_s0p001_af20__rep002	0.001	0.2	alt_minus_ref_mean_tmrca_generations	-17355.463996000002	-21068.4606975874	True	True	True	True
intro_s0p001_af20	intro_s0p001_af20__rep002	2	intro_s0p001_af20__rep002	0.001	0.2	alt_minus_ref_normalized_cdf_auc	0.06264828186185602	0.21350000000000002	True	True	True	True
