scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency	achieved_allele_frequency	achieved_allele_frequency_scope	attempts_to_accept	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	accepted_seed	n_hom_ref	n_heterozygous	n_hom_alt	slim_scaling_factor
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	0.73	sample_estimate	1	1	0	1687158304	7	40	53	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af40	0.01		0.4	0.665	sample_estimate	1	1	0	1832433116	12	43	45	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af10	0.005		0.1	0.8	sample_estimate	1	1	0	1039019505	5	30	65	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af20	0.005		0.2	0.83	sample_estimate	1	1	0	169549026	2	30	68	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af30	0.005		0.3	0.83	sample_estimate	2	2	0	1857007319	2	30	68	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af40	0.005		0.4	0.765	sample_estimate	2	2	0	1524487411	3	41	56	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af50	0.005		0.5	0.745	sample_estimate	1	1	0	804816346	5	41	54	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af60	0.005		0.6	0.825	sample_estimate	2	2	0	637264723	2	31	67	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af70	0.005		0.7	0.91	sample_estimate	4	4	0	1351537063	2	14	84	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af80	0.005		0.8	0.88	sample_estimate	2	2	0	230127513	2	20	78	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af10	0.001		0.1	0.115	sample_estimate	1	1	0	1621476695	80	17	3	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af20	0.001		0.2	0.605	sample_estimate	1	1	0	590385663	18	43	39	10.0
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af40	0.001		0.4	0.525	sample_estimate	1	1	0	1945995950	22	51	27	10.0
