source	position_0based	contrast_scope	alt_minus_ref_normalized_cdf_auc	alt_minus_ref_mean_tmrca_generations	alt_minus_ref_mean_tmrca_years	expected_sweep_sign_normalized_cdf_auc	expected_sweep_sign_mean_tmrca	scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.44886792452830193	-26424.723623705806	-660618.0905926451	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.4378073740313	-25117.215744	-627930.3936000001	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.3144444444444444	-24811.659137349925	-620291.4784337481	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af40	0.01		0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.17115036603670006	-12993.117487	-324827.93717499997	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af40	0.01		0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.5424615384615384	1173.076923076923	29326.923076923078	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af10	0.005		0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.3801285679964001	2193.2452191	54831.1304775	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af10	0.005		0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.22382352941176462	-1537.5	-38437.5	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af20	0.005		0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.21261763325011226	-7530.494316	-188262.3579	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af20	0.005		0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.28345588235294117	-19746.152788447667	-493653.8197111917	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af30	0.005		0.3
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.19248584367895005	-14694.541509000002	-367363.53772500006	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af30	0.005		0.3
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.470625	-15147.857142857143	-378696.4285714286	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af40	0.005		0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.19006365370832834	-3538.600608999999	-88465.01522499998	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af40	0.005		0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.129537037037037	-7746.407407407407	-193660.18518518517	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af50	0.005		0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.24750698906342553	-23691.103634	-592277.59085	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af50	0.005		0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.20298507462686569	-155162.94671728928	-3879073.667932232	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af60	0.005		0.6
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.17795585585845	-30040.72723	-751018.18075	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af60	0.005		0.6
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.32898809523809525	-12504.642857142857	-312616.0714285714	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af70	0.005		0.7
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.3287847268983001	-9738.569494	-243464.23734999998	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af70	0.005		0.7
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.12891025641025639	-60845.79664200899	-1521144.9160502246	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af80	0.005		0.8
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.34973277939040004	-35049.513108	-876237.8277	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p005_af80	0.005		0.8
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.337625	-37065.49302637647	-926637.3256594117	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p001_af10	0.001		0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.40143257769839996	-10715.8498	-267896.245	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p001_af10	0.001		0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.03938034188034187	-17057.067768132558	-426426.69420331396	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p001_af20	0.001		0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.09209733150568397	-9597.853539999998	-239946.33849999995	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p001_af20	0.001		0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.1274074074074074	-22414.774092154214	-560369.3523038554	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p001_af40	0.001		0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.30857576609478493	-35253.535767	-881338.394175	positive	negative	neanderthal_introgression_standing_variation	introgression	intro_s0p001_af40	0.001		0.4
