source	position_0based	position_1based	genotype_class	n_pairs	generation_time_years	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_p_tmrca_lt_threshold	frac_recent	mean_tmrca_generations	median_tmrca_generations	mean_tmrca_years	median_tmrca_years	scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency	origin_age_generations
tree_truth	5000000.0	5000001.0	overall	100	25.0	1000.0	40.0	0.0	0.0	0.0	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	4500.0	180.0	0.03	0.03	0.03	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	10000.0	400.0	0.04	0.04	0.04	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	20000.0	800.0	0.22	0.22	0.22	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	30000.0	1200.0	0.52	0.52	0.52	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	40000.0	1600.0	0.54	0.54	0.54	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	50000.0	2000.0	0.54	0.54	0.54	25708.05707089279	940.0	642701.4267723198	23500.0	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	1000.0	40.0	0.0	0.0	0.0	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	4500.0	180.0	0.1428571428571428	0.1428571428571428	0.1428571428571428	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	10000.0	400.0	0.1428571428571428	0.1428571428571428	0.1428571428571428	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	20000.0	800.0	0.1428571428571428	0.1428571428571428	0.1428571428571428	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	30000.0	1200.0	0.1428571428571428	0.1428571428571428	0.1428571428571428	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	40000.0	1600.0	0.1428571428571428	0.1428571428571428	0.1428571428571428	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
tree_truth	5000000.0	5000001.0	hom_ref	7	25.0	50000.0	2000.0	0.1428571428571428	0.1428571428571428	0.1428571428571428	27226.610416158637	36488.88447724465	680665.2604039658	912222.1119311162	neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	2400.0
