source	position_0based	contrast_scope	alt_minus_ref_normalized_cdf_auc	alt_minus_ref_mean_tmrca_generations	alt_minus_ref_mean_tmrca_years	expected_sweep_sign_normalized_cdf_auc	expected_sweep_sign_mean_tmrca	scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.5394063545150501	-41558.45931298234	-1038961.4828245585	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.56648958659536	-12201.7875645	-305044.6891125	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.5489835164835164	-12206.181318681316	-305154.5329670329	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p010_median_age1289g	0.01	median	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.41007673494545505	-7247.421399000001	-181185.53497500002	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p010_median_age1289g	0.01	median	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.4928030303030303	-14562.083333333334	-364052.0833333334	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p010_q975_age1308g	0.01	q975	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.4549984130155999	-6470.8432101	-161771.0802525	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p010_q975_age1308g	0.01	q975	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.37694581280788175	-27378.832927445397	-684470.8231861349	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p005_q025_age2635g	0.005	q025	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.3340009561857749	-18083.424812999998	-452085.62032499997	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p005_q025_age2635g	0.005	q025	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.03949760765550242	-9112.177033492822	-227804.42583732057	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p005_median_age2725g	0.005	median	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.16441784066530005	-5669.330973	-141733.274325	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p005_median_age2725g	0.005	median	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.38816666666666666	-53107.636561411506	-1327690.9140352877	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p005_q975_age2781g	0.005	q975	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.30115030942621995	-25420.406648	-635510.1662	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p005_q975_age2781g	0.005	q975	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.13005698005698002	738.7606837606836	18469.01709401709	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p001_q025_age15523g	0.001	q025	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.07826291884619996	66.72564800000009	1668.1412000000023	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p001_q025_age15523g	0.001	q025	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.06434782608695656	-27275.95105423853	-681898.7763559632	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p001_median_age15728g	0.001	median	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.39781811760055996	-18421.792223	-460544.805575	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p001_median_age15728g	0.001	median	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.02388663967611336	-16242.912286788416	-406072.8071697104	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p001_q975_age16306g	0.001	q975	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.06093736948429497	-4957.309870000001	-123932.74675000002	positive	negative	no_introgression_de_novo	no_introgression	no_intro_s0p001_q975_age16306g	0.001	q975	0.5
