region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	649500	663500	0.6495	0.6635	14	0.0297029702970297	0.040835668624245
2	743500	756500	0.7435	0.7565	13	0.0297029702970297	0.0346795770286832
3	1270500	1280500	1.2705	1.2805	10	0.0297029702970297	0.0326335515579878
4	1440500	1456500	1.4405	1.4565	16	0.0297029702970297	0.0358993175801557
5	1734500	1736500	1.7345	1.7365	2	0.04950495049504951	0.0317988716579447
6	1744500	1745500	1.7445	1.7455	1	0.04950495049504951	0.03324060044625
7	1746500	1762500	1.7465	1.7625	16	0.0297029702970297	0.0391498503735443
8	2688500	2712500	2.6885	2.7125	24	0.019801980198019802	0.0368273128666922
9	3098500	3107500	3.0985	3.1075	9	0.039603960396039604	0.0336126350000186
10	3150500	3156500	3.1505	3.1565	6	0.039603960396039604	0.0343701848363811
11	3403500	3430500	3.4035	3.4305	27	0.009900990099009901	0.0346022142452384
12	3433500	3434500	3.4335	3.4345	1	0.04950495049504951	0.0312723527056118
13	3435500	3454500	3.4355	3.4545	19	0.0297029702970297	0.0351218734024335
14	3517500	3533500	3.5175	3.5335	16	0.019801980198019802	0.034977006422943
15	3563500	3574500	3.5635	3.5745	11	0.0297029702970297	0.0358460511399393
16	3580500	3605500	3.5805	3.6055	25	0.009900990099009901	0.038123273272555
17	4216500	4229500	4.2165	4.2295	13	0.0297029702970297	0.0349079372628875
18	4234500	4248500	4.2345	4.2485	14	0.039603960396039604	0.0339898419003765
19	4298500	4302500	4.2985	4.3025	4	0.039603960396039604	0.0294246117133035
20	4316500	4338500	4.3165	4.3385	22	0.009900990099009901	0.0340015195513894
21	4352500	4387500	4.3525	4.3875	35	0.009900990099009901	0.0362328344789222
22	4434500	4441500	4.4345	4.4415	7	0.039603960396039604	0.0325110957631975
23	4510500	4516500	4.5105	4.5165	6	0.0297029702970297	0.0327829815470996
24	4570500	4586500	4.5705	4.5865	16	0.019801980198019802	0.0366929992399537
25	4589500	4592500	4.5895	4.5925	3	0.04950495049504951	0.0326962807573897
26	4593500	4637500	4.5935	4.6375	44	0.019801980198019802	0.037663282444415
27	4642500	4661500	4.6425	4.6615	19	0.019801980198019802	0.0352188264359195
28	4678500	4688500	4.6785	4.6885	10	0.04950495049504951	0.0342564896554959
29	4694500	4781500	4.6945	4.7815	87	0.009900990099009901	0.0518680036381502
30	4813500	4840500	4.8135	4.8405	27	0.009900990099009901	0.0424016369254831
31	4848500	4868500	4.8485	4.8685	20	0.0297029702970297	0.0418490592720553
32	4948500	4978500	4.9485	4.9785	30	0.009900990099009901	0.0396443292811062
33	5087500	5090500	5.0875	5.0905	3	0.04950495049504951	0.0336060838979179
34	5205500	5206500	5.2055	5.2065	1	0.04950495049504951	0.0313786430370613
35	5227500	5237500	5.2275	5.2375	10	0.0297029702970297	0.0323780094732115
36	5352500	5360500	5.3525	5.3605	8	0.04950495049504951	0.0329201344537639
37	5366500	5390500	5.3665	5.3905	24	0.019801980198019802	0.0322794302100612
38	5455500	5456500	5.4555	5.4565	1	0.04950495049504951	0.02903446584028
39	5627500	5681500	5.6275	5.6815	54	0.009900990099009901	0.0521654579473361
40	5805500	5864500	5.8055	5.8645	59	0.009900990099009901	0.0428664345237269
41	6192500	6195500	6.1925	6.1955	3	0.04950495049504951	0.0323174256203629
42	6378500	6388500	6.3785	6.3885	10	0.019801980198019802	0.0356873742960071
43	6403500	6412500	6.4035	6.4125	9	0.019801980198019802	0.0387394134233634
44	6770500	6774500	6.7705	6.7745	4	0.04950495049504951	0.0339560336815932
45	8178500	8219500	8.1785	8.2195	41	0.009900990099009901	0.0439765905410714
46	8945500	8962500	8.9455	8.9625	17	0.019801980198019802	0.0472711629057471
47	9005500	9012500	9.0055	9.0125	7	0.039603960396039604	0.0360902531550369
48	9340500	9351500	9.3405	9.3515	11	0.0297029702970297	0.0330080981731534
49	9362500	9366500	9.3625	9.3665	4	0.04950495049504951	0.029783460058196
50	9403500	9415500	9.4035	9.4155	12	0.0297029702970297	0.033483796302548
51	9597500	9624500	9.5975	9.6245	27	0.009900990099009901	0.0511475245376207
