region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	2339500	2412500	2.3395	2.4125	73	0.009900990099009901	0.0640615260892022
2	2499500	2510500	2.4995	2.5105	11	0.039603960396039604	0.0356612031408808
3	2521500	2579500	2.5215	2.5795	58	0.009900990099009901	0.0386383412120143
4	2581500	2583500	2.5815	2.5835	2	0.04950495049504951	0.0318294084174325
5	2598500	2681500	2.5985	2.6815	83	0.009900990099009901	0.0647303644513211
6	2786500	2798500	2.7865	2.7985	12	0.019801980198019802	0.0378350456110396
7	3022500	3043500	3.0225	3.0435	21	0.009900990099009901	0.0414568293444359
8	3067500	3097500	3.0675	3.0975	30	0.009900990099009901	0.0405090089132957
9	3371500	3391500	3.3715	3.3915	20	0.009900990099009901	0.0429073545377711
10	3414500	3420500	3.4145	3.4205	6	0.039603960396039604	0.0314552918212512
11	3442500	3446500	3.4425	3.4465	4	0.04950495049504951	0.0324792193151762
12	3476500	3500500	3.4765	3.5005	24	0.019801980198019802	0.0353151779640922
13	3504500	3629500	3.5045	3.6295	125	0.009900990099009901	0.049933478301041
14	3651500	3663500	3.6515	3.6635	12	0.0297029702970297	0.0358219078120248
15	3664500	3670500	3.6645	3.6705	6	0.04950495049504951	0.0355243775291356
16	3675500	3691500	3.6755	3.6915	16	0.04950495049504951	0.0370949140912562
17	4057500	4142500	4.0575	4.1425	85	0.009900990099009901	0.0374344836690542
18	4144500	4169500	4.1445	4.1695	25	0.0297029702970297	0.0389490947750119
19	4186500	4505500	4.1865	4.5055	319	0.009900990099009901	0.0548617252290883
20	4514500	4710500	4.5145	4.7105	196	0.009900990099009901	0.0580391227271916
21	4712500	5416500	4.7125	5.4165	704	0.009900990099009901	0.0931373639261603
22	5426500	5741500	5.4265	5.7415	315	0.009900990099009901	0.0618386441990362
23	5896500	5897500	5.8965	5.8975	1	0.04950495049504951	0.032253512437283
24	5929500	5941500	5.9295	5.9415	12	0.039603960396039604	0.035275875272729
25	5960500	5986500	5.9605	5.9865	26	0.009900990099009901	0.0412514329497955
26	6001500	6046500	6.0015	6.0465	45	0.009900990099009901	0.0658733899879285
27	6090500	6096500	6.0905	6.0965	6	0.039603960396039604	0.0352868982238029
28	6113500	6143500	6.1135	6.1435	30	0.019801980198019802	0.0378540701034499
29	6721500	6765500	6.7215	6.7655	44	0.019801980198019802	0.0418425826452642
30	6769500	6773500	6.7695	6.7735	4	0.04950495049504951	0.0328025371193949
31	6977500	7008500	6.9775	7.0085	31	0.009900990099009901	0.0437015360614516
32	7967500	7973500	7.9675	7.9735	6	0.0297029702970297	0.0371667384609419
33	8452500	8457500	8.4525	8.4575	5	0.019801980198019802	0.0314432175605507
34	8642500	8653500	8.6425	8.6535	11	0.0297029702970297	0.0362374294622711
35	8995500	9003500	8.9955	9.0035	8	0.0297029702970297	0.0379359837640635
36	9418500	9475500	9.4185	9.4755	57	0.009900990099009901	0.0422020743920841
37	9979500	9986500	9.9795	9.9865	7	0.039603960396039604	0.0283193291580212
