tick	generations_ago	population_allele_frequency	selected_attempt
1	180	5e-05	2514
2	179	0.00015	2514
3	178	0.00025	2514
4	177	0.00035	2514
5	176	0.00035	2514
6	175	0.0002	2514
7	174	0.0002	2514
8	173	0.00035	2514
9	172	0.00045	2514
10	171	0.0005	2514
11	170	0.00065	2514
12	169	0.001	2514
13	168	0.00145	2514
14	167	0.00175	2514
15	166	0.0015	2514
16	165	0.0013	2514
17	164	0.00195	2514
18	163	0.0024	2514
19	162	0.00295	2514
20	161	0.00355	2514
21	160	0.0041	2514
22	159	0.00455	2514
23	158	0.0045	2514
24	157	0.0048	2514
25	156	0.00455	2514
26	155	0.0047	2514
27	154	0.0051	2514
28	153	0.0049	2514
29	152	0.0051	2514
30	151	0.0058	2514
31	150	0.0059	2514
32	149	0.00655	2514
33	148	0.00685	2514
34	147	0.00725	2514
35	146	0.00835	2514
36	145	0.0087	2514
37	144	0.00825	2514
38	143	0.0083	2514
39	142	0.0081	2514
40	141	0.00985	2514
41	140	0.0085	2514
42	139	0.0087	2514
43	138	0.00905	2514
44	137	0.0099	2514
45	136	0.00945	2514
46	135	0.01	2514
47	134	0.0115	2514
48	133	0.0107	2514
49	132	0.0113	2514
50	131	0.01265	2514
51	130	0.01285	2514
52	129	0.01255	2514
53	128	0.0139	2514
54	127	0.0136	2514
55	126	0.0156	2514
56	125	0.01635	2514
57	124	0.01625	2514
58	123	0.0163	2514
59	122	0.01675	2514
60	121	0.01685	2514
61	120	0.01685	2514
62	119	0.018	2514
63	118	0.0206	2514
64	117	0.02175	2514
65	116	0.02155	2514
66	115	0.023	2514
67	114	0.0256	2514
68	113	0.0288	2514
69	112	0.02675	2514
70	111	0.0277	2514
71	110	0.0295	2514
72	109	0.03195	2514
73	108	0.03215	2514
74	107	0.03255	2514
75	106	0.03495	2514
76	105	0.03615	2514
77	104	0.03775	2514
78	103	0.037	2514
79	102	0.03965	2514
80	101	0.04015	2514
81	100	0.039875	2514
82	99	0.0418	2514
83	98	0.0437	2514
84	97	0.0451	2514
85	96	0.048575	2514
86	95	0.05125	2514
87	94	0.0509	2514
88	93	0.052225	2514
89	92	0.052825	2514
90	91	0.054775	2514
91	90	0.056075	2514
92	89	0.059375	2514
93	88	0.061625	2514
94	87	0.063325	2514
95	86	0.06675	2514
96	85	0.068425	2514
97	84	0.070325	2514
98	83	0.070925	2514
99	82	0.0754	2514
100	81	0.0774	2514
101	80	0.077525	2514
102	79	0.079075	2514
103	78	0.081825	2514
104	77	0.085475	2514
105	76	0.087275	2514
106	75	0.0891	2514
107	74	0.090925	2514
108	73	0.09365	2514
109	72	0.09215	2514
110	71	0.093375	2514
111	70	0.0921	2514
112	69	0.094675	2514
113	68	0.09585	2514
114	67	0.099525	2514
115	66	0.100175	2514
116	65	0.10025	2514
117	64	0.101075	2514
118	63	0.104325	2514
119	62	0.108375	2514
120	61	0.11145	2514
121	60	0.110725	2514
122	59	0.11245	2514
123	58	0.11835	2514
124	57	0.12055	2514
125	56	0.1254	2514
126	55	0.125475	2514
127	54	0.1298	2514
128	53	0.1331	2514
129	52	0.13575	2514
130	51	0.139375	2514
131	50	0.146	2514
132	49	0.149425	2514
133	48	0.152375	2514
134	47	0.1559	2514
135	46	0.160775	2514
136	45	0.16505	2514
137	44	0.164825	2514
138	43	0.1681	2514
139	42	0.169825	2514
140	41	0.176675	2514
141	40	0.181975	2514
142	39	0.18675	2514
143	38	0.188875	2514
144	37	0.19235	2514
145	36	0.196425	2514
146	35	0.19875	2514
147	34	0.2033	2514
148	33	0.206225	2514
149	32	0.213375	2514
150	31	0.214275	2514
151	30	0.219875	2514
152	29	0.2254	2514
153	28	0.227925	2514
154	27	0.233575	2514
155	26	0.2398	2514
156	25	0.24745	2514
157	24	0.2534	2514
158	23	0.257	2514
159	22	0.257325	2514
160	21	0.2612	2514
161	20	0.26485	2514
162	19	0.26785	2514
163	18	0.275675	2514
164	17	0.282525	2514
165	16	0.286675	2514
166	15	0.286475	2514
167	14	0.293725	2514
168	13	0.297525	2514
169	12	0.302575	2514
170	11	0.30985	2514
171	10	0.3208	2514
172	9	0.3269	2514
173	8	0.33315	2514
174	7	0.34165	2514
175	6	0.34745	2514
176	5	0.3554	2514
177	4	0.36235	2514
178	3	0.369375	2514
179	2	0.37465	2514
180	1	0.378375	2514
181	0	0.379525	2514
