attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
0	910241	False	lost	0.0	4.190002800896764e-05	0.540086799999699	True
1	910251	False	lost	0.0	8.410000009462237e-05	0.6094779999693856	True
2	910261	False	lost	0.0	4.75000124424696e-05	0.6503746000234969	True
3	910271	False	lost	0.0	0.00015109998639672995	0.5528689000057057	True
4	910281	False	lost	0.0	4.740001168102026e-05	0.57465579995187	True
5	910291	False	lost	0.0	5.229999078437686e-05	0.5873926000203937	True
6	910301	False	lost	0.0	4.880002234131098e-05	0.5434454000205733	True
7	910311	False	lost	0.0	4.279997665435076e-05	0.6048906000214629	True
8	910321	False	lost	0.0	6.910000229254365e-05	0.5909183999756351	True
9	910331	False	lost	0.0	5.779997445642948e-05	0.5573468000511639	True
10	910341	False	lost	0.0	4.5199994929134846e-05	0.5468009999603964	True
11	910351	False	lost	0.0	4.0000013541430235e-05	0.5900976000120863	True
12	910361	False	lost	0.0	4.96999709866941e-05	0.5713432999909855	True
13	910371	False	lost	0.0	5.91999851167202e-05	0.5997568999882787	True
14	910381	False	lost	0.0	4.689994966611266e-05	0.5623825000366196	True
15	910391	False	lost	0.0	3.709999145939946e-05	0.5579902000026777	True
16	910401	False	lost	0.0	3.549997927621007e-05	0.806711700046435	True
17	910411	False	lost	0.0	7.150002056732774e-05	0.5737415000330657	True
18	910421	False	lost	0.0	4.810001701116562e-05	0.5339695000438951	True
19	910431	False	lost	0.0	3.659998765215278e-05	0.4278031999710947	True
20	910441	False	lost	0.0	4.630000330507755e-05	0.5316574000171386	True
21	910451	False	lost	0.0	7.06000137142837e-05	0.5487458999850787	True
22	910461	False	lost	0.0	6.180000491440296e-05	0.537226999993436	True
23	910471	False	lost	0.0	5.2499992307275534e-05	0.5285206999978982	True
24	910481	False	lost	0.0	5.360000068321824e-05	0.5691771999699995	True
25	910491	False	lost	0.0	0.0002381000085733831	0.5475771999917924	True
26	910501	False	lost	0.0	5.0499977078288794e-05	0.8657065999577753	True
27	910511	False	lost	0.0	3.8700003642588854e-05	0.5192889999598265	True
28	910521	False	lost	0.0	5.6500022765249014e-05	0.5314634999958798	True
29	910531	False	lost	0.0	3.890000516548753e-05	0.4770940999733284	True
30	910541	False	lost	0.0	7.690000347793102e-05	0.533640000037849	True
31	910551	False	segregating	0.055125	4.2000028770416975e-05	2.288645099964924	True
32	910561	False	lost	0.0	6.600003689527512e-05	0.592869599990081	True
33	910571	False	lost	0.0	3.3800024539232254e-05	0.4898113000090234	True
34	910581	False	lost	0.0	3.560003824532032e-05	0.5418791000265628	True
