region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	1485000	1505000	1.485	1.505	2	0.019801980198019802	0.012
2	2605000	2625000	2.605	2.625	2	0.039603960396039604	0.0125
3	2635000	5765000	2.635	5.765	313	0.009900990099009901	0.0605
4	5835000	5855000	5.835	5.855	2	0.04950495049504951	0.0125
5	5885000	5905000	5.885	5.905	2	0.039603960396039604	0.013
6	6075000	6085000	6.075	6.085	1	0.039603960396039604	0.0125
7	6095000	6125000	6.095	6.125	3	0.0297029702970297	0.0135
8	6155000	6185000	6.155	6.185	3	0.0297029702970297	0.013
9	6305000	6395000	6.305	6.395	9	0.0297029702970297	0.013
10	6435000	6445000	6.435	6.445	1	0.0297029702970297	0.0125
11	7115000	7165000	7.115	7.165	5	0.0297029702970297	0.0135
