region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	2605500	2610500	2.6055	2.6105	5	0.04950495049504951	0.0175
2	2622500	2623500	2.6225	2.6235	1	0.04950495049504951	0.017
3	2624500	2877500	2.6245	2.8775	253	0.009900990099009901	0.0215
4	2878500	2879500	2.8785	2.8795	1	0.04950495049504951	0.0165
5	2882500	5688500	2.8825	5.6885	2806	0.009900990099009901	0.0715
6	5694500	5717500	5.6945	5.7175	23	0.0297029702970297	0.017
7	5721500	5725500	5.7215	5.7255	4	0.04950495049504951	0.017
8	5743500	5748500	5.7435	5.7485	5	0.039603960396039604	0.0165
9	5764500	5789500	5.7645	5.7895	25	0.039603960396039604	0.017
10	5991500	6055500	5.9915	6.0555	64	0.0297029702970297	0.019
11	6094500	6119500	6.0945	6.1195	25	0.0297029702970297	0.018
12	6120500	6121500	6.1205	6.1215	1	0.04950495049504951	0.0175
13	7117500	7118500	7.1175	7.1185	1	0.04950495049504951	0.0165
14	7120500	7124500	7.1205	7.1245	4	0.04950495049504951	0.0165
15	7125500	7128500	7.1255	7.1285	3	0.04950495049504951	0.0165
16	7226500	7237500	7.2265	7.2375	11	0.039603960396039604	0.017
17	7238500	7244500	7.2385	7.2445	6	0.04950495049504951	0.0165
18	7247500	7250500	7.2475	7.2505	3	0.04950495049504951	0.017
19	7271500	7272500	7.2715	7.2725	1	0.039603960396039604	0.0165
20	7273500	7274500	7.2735	7.2745	1	0.04950495049504951	0.0165
21	7278500	7286500	7.2785	7.2865	8	0.0297029702970297	0.017
22	7290500	7292500	7.2905	7.2925	2	0.04950495049504951	0.0165
23	7825500	7827500	7.8255	7.8275	2	0.04950495049504951	0.0165
24	7829500	7831500	7.8295	7.8315	2	0.04950495049504951	0.016
25	7834500	7851500	7.8345	7.8515	17	0.039603960396039604	0.017
26	7855500	7873500	7.8555	7.8735	18	0.0297029702970297	0.0175
27	7935500	7940500	7.9355	7.9405	5	0.039603960396039604	0.0165
28	9086500	9097500	9.0865	9.0975	11	0.019801980198019802	0.017
29	9098500	9105500	9.0985	9.1055	7	0.0297029702970297	0.017
30	9106500	9107500	9.1065	9.1075	1	0.04950495049504951	0.016
31	9125500	9131500	9.1255	9.1315	6	0.04950495049504951	0.016
32	9147500	9150500	9.1475	9.1505	3	0.04950495049504951	0.016
33	9152500	9156500	9.1525	9.1565	4	0.04950495049504951	0.016
34	9159500	9195500	9.1595	9.1955	36	0.0297029702970297	0.0175
35	9545500	9548500	9.5455	9.5485	3	0.039603960396039604	0.015
36	9554500	9629500	9.5545	9.6295	75	0.009900990099009901	0.0185
37	9633500	9647500	9.6335	9.6475	14	0.0297029702970297	0.016
38	9648500	9678500	9.6485	9.6785	30	0.019801980198019802	0.0165
