region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	1488500	1509500	1.4885	1.5095	21	0.019801980198019802	0.012
2	2605500	2626500	2.6055	2.6265	21	0.0297029702970297	0.013
3	2630500	2714500	2.6305	2.7145	84	0.009900990099009901	0.015
4	2718500	5766500	2.7185	5.7665	3048	0.009900990099009901	0.0605
5	5769500	5771500	5.7695	5.7715	2	0.04950495049504951	0.0125
6	5801500	5806500	5.8015	5.8065	5	0.04950495049504951	0.0125
7	5830500	5855500	5.8305	5.8555	25	0.039603960396039604	0.0125
8	5888500	5907500	5.8885	5.9075	19	0.039603960396039604	0.013
9	6006500	6009500	6.0065	6.0095	3	0.04950495049504951	0.0125
10	6075500	6081500	6.0755	6.0815	6	0.039603960396039604	0.0125
11	6096500	6100500	6.0965	6.1005	4	0.04950495049504951	0.0125
12	6102500	6120500	6.1025	6.1205	18	0.019801980198019802	0.014
13	6145500	6149500	6.1455	6.1495	4	0.04950495049504951	0.012
14	6154500	6186500	6.1545	6.1865	32	0.0297029702970297	0.013
15	6302500	6397500	6.3025	6.3975	95	0.0297029702970297	0.013
16	6436500	6447500	6.4365	6.4475	11	0.0297029702970297	0.0125
17	6450500	6451500	6.4505	6.4515	1	0.04950495049504951	0.012
18	6456500	6457500	6.4565	6.4575	1	0.04950495049504951	0.012
19	7115500	7169500	7.1155	7.1695	54	0.0297029702970297	0.0135
20	7173500	7176500	7.1735	7.1765	3	0.04950495049504951	0.0125
