replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	242	0
1	25	0
2	31	0
3	1006	0
4	4	0
5	94	0
6	352	0
7	199	0
8	255	0
9	1075	0
10	492	263
11	244	0
12	66	0
13	107	0
14	854	0
15	270	149
16	98	77
17	1400	0
18	230	0
19	960	0
20	267	60
21	148	0
22	18	0
23	130	0
24	465	0
25	765	0
26	505	329
27	0	0
28	1138	0
29	59	0
30	535	76
31	40	20
32	28	0
33	261	189
34	1185	389
35	575	209
36	11	0
37	478	0
38	155	0
39	16	0
40	1207	706
41	154	44
42	244	0
43	303	0
44	1005	101
45	132	0
46	31	0
47	152	0
48	15	11
49	263	0
50	0	0
51	302	0
52	295	0
53	338	0
54	14	0
55	0	0
56	257	163
57	65	0
58	289	36
59	877	0
60	77	0
61	360	0
62	745	0
63	248	0
64	767	0
65	500	0
66	341	0
67	118	0
68	566	14
69	21	0
70	88	0
71	36	0
72	0	0
73	171	0
74	133	0
75	159	0
76	294	0
77	606	0
78	137	0
79	99	0
80	80	72
81	120	0
82	899	189
83	72	0
84	512	0
85	346	151
86	460	0
87	84	0
88	246	0
89	209	0
90	527	0
91	524	0
92	528	0
93	188	0
94	252	0
95	291	0
96	104	0
97	406	91
98	281	0
99	354	111
