attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
4141	972187	False	segregating	0.040225	0.0006360000115819	2.874881500029005	True
1468	945457	False	segregating	0.03025	0.0003973999992012	2.6954585000057705	True
15801	1088787	False	segregating	0.02955	2.909998875111341e-05	3.9949453999870457	True
6067	991447	False	segregating	0.02825	0.000675700022839	3.773216200002935	True
6071	991487	False	segregating	0.026875	0.0004814999992959	3.796094499994069	True
16717	1097947	False	segregating	0.02675	3.520003519952297e-05	4.521806499978993	True
217	932947	False	segregating	0.022475	5.329999839887023e-05	3.058014400012325	True
7988	1010657	False	segregating	0.022425	3.52999777533114e-05	4.10168269998394	True
12439	1055167	False	segregating	0.021625	2.8099981136620045e-05	4.160672500031069	True
19003	1120807	False	segregating	0.02105	6.140000186860561e-05	4.94643549999455	True
5268	983457	False	segregating	0.02095	0.000115199945867	2.964057600009255	True
6158	992357	False	segregating	0.0199	0.000613699958194	3.057455400004983	True
18719	1117967	False	segregating	0.019825	5.979998968541622e-05	3.5791613000328653	True
14534	1076117	False	segregating	0.019625	4.150002496317029e-05	4.80349539994495	True
11600	1046777	False	segregating	0.018475	3.4999975468963385e-05	3.5768999000429176	True
17669	1107467	False	segregating	0.01825	0.0002307000104337	4.77989169995999	True
19181	1122587	False	segregating	0.01795	4.6999950427562e-05	3.299788500007708	True
3044	961217	False	segregating	0.017875	0.0004037999897263	3.1981898000231013	True
224	933017	False	segregating	0.01785	5.950004560872912e-05	3.0878530999762006	True
1329	944067	False	segregating	0.01735	0.0005846000276505	2.949230499973055	True
