attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
0	930777	False	lost	0.0	5.690002581104636e-05	0.6178812000434846	True
1	930787	False	lost	0.0	3.830000059679151e-05	0.5242824999731965	True
2	930797	False	lost	0.0	4.730001091957092e-05	0.5597496999544092	True
3	930807	False	lost	0.0	6.049999501556158e-05	0.5238949999911711	True
4	930817	False	lost	0.0	3.779999678954482e-05	0.5367738000350073	True
5	930827	False	lost	0.0	0.0001482999650761	0.5900589000084437	True
6	930837	False	lost	0.0	4.6999950427562e-05	0.5898376999539323	True
7	930847	False	lost	0.0	5.1799986977130175e-05	0.5463057999731973	True
8	930857	False	lost	0.0	4.529999569058418e-05	0.5491572999744676	True
9	930867	False	lost	0.0	0.0003662999952211	0.499707999988459	True
10	930877	False	lost	0.0	4.5900000259280205e-05	0.5783499000244774	True
11	930887	False	segregating	0.0018	4.440004704520106e-05	2.9756315000122413	True
12	930897	False	lost	0.0	5.2799994591623545e-05	1.0064932000241242	True
13	930907	False	lost	0.0	5.91999851167202e-05	0.554905199969653	True
14	930917	False	lost	0.0	0.0002632000250741	0.5120361000299454	True
15	930927	False	lost	0.0	0.000251899997238	0.5067091000382788	True
16	930937	False	lost	0.0	5.5800017435103655e-05	0.5392338000237942	True
17	930947	False	lost	0.0	6.420002318918705e-05	0.5057708999956958	True
18	930957	False	lost	0.0	4.830001853406429e-05	0.4913683999911882	True
19	930967	False	lost	0.0	6.530003156512976e-05	0.5347535999608226	True
20	930977	False	lost	0.0	5.100003909319639e-05	0.4994576000026427	True
21	930987	False	lost	0.0	4.610000178217888e-05	0.5227627999847755	True
22	930997	False	lost	0.0	4.9399968702346087e-05	0.5425036000087857	True
23	931007	False	lost	0.0	3.830000059679151e-05	1.177601200004574	True
24	931017	False	lost	0.0	6.220000796020031e-05	0.4668855000054464	True
25	931027	False	lost	0.0	4.429998807609081e-05	0.486654800013639	True
26	931037	False	lost	0.0	5.099998088553548e-05	0.5649964999756776	True
27	931047	False	lost	0.0	0.000100300007034	0.5111851999536157	True
28	931057	False	lost	0.0	5.500001134350896e-05	0.5014518999960274	True
