tick	generations_ago	population_allele_frequency	selected_attempt
1	180	5e-05	4141
2	179	5e-05	4141
3	178	0.0001	4141
4	177	0.00015	4141
5	176	0.00035	4141
6	175	0.0004	4141
7	174	0.00045	4141
8	173	0.00045	4141
9	172	0.00035	4141
10	171	0.00045	4141
11	170	0.00065	4141
12	169	0.00055	4141
13	168	0.0007	4141
14	167	0.00075	4141
15	166	0.00055	4141
16	165	0.0006	4141
17	164	0.0008	4141
18	163	0.00095	4141
19	162	0.00075	4141
20	161	0.0009	4141
21	160	0.0008	4141
22	159	0.0008	4141
23	158	0.00085	4141
24	157	0.0014	4141
25	156	0.0015	4141
26	155	0.00165	4141
27	154	0.00225	4141
28	153	0.00215	4141
29	152	0.00275	4141
30	151	0.00325	4141
31	150	0.0041	4141
32	149	0.00485	4141
33	148	0.0048	4141
34	147	0.0053	4141
35	146	0.00495	4141
36	145	0.00565	4141
37	144	0.00575	4141
38	143	0.0062	4141
39	142	0.00705	4141
40	141	0.0069	4141
41	140	0.00685	4141
42	139	0.00795	4141
43	138	0.0078	4141
44	137	0.00755	4141
45	136	0.00785	4141
46	135	0.00745	4141
47	134	0.00705	4141
48	133	0.00755	4141
49	132	0.00725	4141
50	131	0.0071	4141
51	130	0.0074	4141
52	129	0.0071	4141
53	128	0.00845	4141
54	127	0.0092	4141
55	126	0.0081	4141
56	125	0.0089	4141
57	124	0.0086	4141
58	123	0.00885	4141
59	122	0.00895	4141
60	121	0.0086	4141
61	120	0.00895	4141
62	119	0.0093	4141
63	118	0.00935	4141
64	117	0.01015	4141
65	116	0.0114	4141
66	115	0.0103	4141
67	114	0.00955	4141
68	113	0.0102	4141
69	112	0.01055	4141
70	111	0.01005	4141
71	110	0.0108	4141
72	109	0.01085	4141
73	108	0.01135	4141
74	107	0.01135	4141
75	106	0.01195	4141
76	105	0.0125	4141
77	104	0.0143	4141
78	103	0.01495	4141
79	102	0.01615	4141
80	101	0.0155	4141
81	100	0.014725	4141
82	99	0.0147	4141
83	98	0.01485	4141
84	97	0.01515	4141
85	96	0.0145	4141
86	95	0.01505	4141
87	94	0.015675	4141
88	93	0.016025	4141
89	92	0.014875	4141
90	91	0.014925	4141
91	90	0.0159	4141
92	89	0.016875	4141
93	88	0.01705	4141
94	87	0.016425	4141
95	86	0.017425	4141
96	85	0.017275	4141
97	84	0.01675	4141
98	83	0.016425	4141
99	82	0.0167	4141
100	81	0.017425	4141
101	80	0.0177	4141
102	79	0.01885	4141
103	78	0.019025	4141
104	77	0.01975	4141
105	76	0.0208	4141
106	75	0.0212	4141
107	74	0.020875	4141
108	73	0.021075	4141
109	72	0.02195	4141
110	71	0.021725	4141
111	70	0.0222	4141
112	69	0.022375	4141
113	68	0.022525	4141
114	67	0.022375	4141
115	66	0.02385	4141
116	65	0.0244	4141
117	64	0.025975	4141
118	63	0.02415	4141
119	62	0.023075	4141
120	61	0.023175	4141
121	60	0.023275	4141
122	59	0.025625	4141
123	58	0.026175	4141
124	57	0.026575	4141
125	56	0.02605	4141
126	55	0.0268	4141
127	54	0.027675	4141
128	53	0.027	4141
129	52	0.0265	4141
130	51	0.027375	4141
131	50	0.02745	4141
132	49	0.028	4141
133	48	0.02955	4141
134	47	0.0307	4141
135	46	0.0314	4141
136	45	0.033325	4141
137	44	0.0334	4141
138	43	0.0338	4141
139	42	0.033675	4141
140	41	0.03235	4141
141	40	0.0327	4141
142	39	0.031975	4141
143	38	0.032175	4141
144	37	0.033975	4141
145	36	0.033925	4141
146	35	0.0353	4141
147	34	0.033525	4141
148	33	0.03545	4141
149	32	0.03615	4141
150	31	0.034975	4141
151	30	0.035775	4141
152	29	0.036025	4141
153	28	0.037475	4141
154	27	0.037575	4141
155	26	0.037475	4141
156	25	0.0368	4141
157	24	0.03725	4141
158	23	0.036275	4141
159	22	0.034375	4141
160	21	0.0339	4141
161	20	0.035475	4141
162	19	0.032975	4141
163	18	0.0336	4141
164	17	0.033375	4141
165	16	0.033425	4141
166	15	0.033225	4141
167	14	0.03355	4141
168	13	0.034325	4141
169	12	0.034125	4141
170	11	0.034325	4141
171	10	0.035475	4141
172	9	0.03585	4141
173	8	0.0363	4141
174	7	0.037825	4141
175	6	0.039175	4141
176	5	0.039525	4141
177	4	0.040475	4141
178	3	0.040275	4141
179	2	0.040575	4141
180	1	0.041225	4141
181	0	0.040225	4141
