region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	245000	255000	0.245	0.255	1	0.039603960396039604	0.03015707099
2	2265000	2275000	2.265	2.275	1	0.04950495049504951	0.03096719183
3	2945000	2955000	2.945	2.955	1	0.0297029702970297	0.03078867321
4	3185000	3195000	3.185	3.195	1	0.04950495049504951	0.03242091613
5	3225000	3255000	3.225	3.255	3	0.0297029702970297	0.03781888398
6	3315000	3325000	3.315	3.325	1	0.04950495049504951	0.03059654562
7	4795000	4815000	4.795	4.815	2	0.019801980198019802	0.03494452522
8	6345000	6355000	6.345	6.355	1	0.04950495049504951	0.02986874353
9	6595000	6605000	6.595	6.605	1	0.009900990099009901	0.04524352685
10	7215000	7225000	7.215	7.225	1	0.039603960396039604	0.02939219862
11	8525000	8555000	8.525	8.555	3	0.009900990099009901	0.03462051617
12	8575000	8585000	8.575	8.585	1	0.04950495049504951	0.03044489933
13	9085000	9125000	9.085	9.125	4	0.0297029702970297	0.03189329931
14	9155000	9235000	9.155	9.235	8	0.0297029702970297	0.03554974888
15	9245000	9265000	9.245	9.265	2	0.009900990099009901	0.03367499034
16	9275000	9345000	9.275	9.345	7	0.009900990099009901	0.04362976392
17	9435000	9465000	9.435	9.465	3	0.0297029702970297	0.03474794438
18	9615000	9645000	9.615	9.645	3	0.0297029702970297	0.03713836773
19	9845000	9925000	9.845	9.925	8	0.009900990099009901	0.03818065444
