position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	0.006828168275	15546.98734	4	0.002	0.006828168275
10000	10001	2000	0.01466787279	20203.74799	9	0.0045	0.01466787279
20000	20001	2000	0.01827661526	23963.13959	9	0.0045	0.01827661526
30000	30001	2000	0.01742759223	24187.15075	9	0.0045	0.01742759223
40000	40001	2000	0.01505707033	25935.73431	9	0.0045	0.01505707033
50000	50001	2000	0.0159371487	13346.3016	9	0.0045	0.0159371487
60000	60001	2000	0.01733120964	13613.0798	9	0.0045	0.01733120964
70000	70001	2000	0.01874568712	9190.830453	9	0.0045	0.01874568712
80000	80001	2000	0.02944615813	8063.928688	11	0.0055	0.02944615813
90000	90001	2000	0.0281290679	8859.627362	11	0.0055	0.0281290679
100000	100001	2000	0.01782357972	11932.63342	11	0.0055	0.01782357972
110000	110001	2000	0.01565112494	18899.05796	11	0.0055	0.01565112494
120000	120001	2000	0.01558463102	25589.94121	11	0.0055	0.01558463102
130000	130001	2000	0.01589229602	23433.66796	11	0.0055	0.01589229602
140000	140001	2000	0.01359281015	19540.83416	11	0.0055	0.01359281015
150000	150001	2000	0.01518185263	14880.85095	12	0.006	0.01518185263
160000	160001	2000	0.0192058232	21030.71447	12	0.006	0.0192058232
170000	170001	2000	0.01773398975	27338.66347	12	0.006	0.01773398975
180000	180001	2000	0.02327094986	28026.65918	13	0.0065	0.02327094986
190000	190001	2000	0.02339184871	23666.83003	12	0.006	0.02339184871
200000	200001	2000	0.02718651566	23342.50128	13	0.0065	0.02718651566
210000	210001	2000	0.02767424335	18254.50018	13	0.0065	0.02767424335
220000	220001	2000	0.03001132457	15294.19804	13	0.0065	0.03001132457
230000	230001	2000	0.02430870661	14439.81668	13	0.0065	0.02430870661
240000	240001	2000	0.02449641017	13048.1617	13	0.0065	0.02449641017
250000	250001	2000	0.03015707099	8463.029896	13	0.0065	0.03015707099
260000	260001	2000	0.02539190238	6176.133854	13	0.0065	0.02539190238
270000	270001	2000	0.02177569969	9638.867674	13	0.0065	0.02177569969
280000	280001	2000	0.02168022157	7675.008484	13	0.0065	0.02168022157
290000	290001	2000	0.02292683474	9555.074889	13	0.0065	0.02292683474
300000	300001	2000	0.02287948537	10195.51555	14	0.007	0.02287948537
310000	310001	2000	0.01830374378	12800.70257	14	0.007	0.01830374378
320000	320001	2000	0.01981190421	10601.55773	14	0.007	0.01981190421
330000	330001	2000	0.02071109975	12089.59836	14	0.007	0.02071109975
340000	340001	2000	0.0225296276	10142.6933	14	0.007	0.0225296276
350000	350001	2000	0.01973302271	12019.27652	16	0.008	0.01973302271
360000	360001	2000	0.02029821531	13742.85685	16	0.008	0.02029821531
370000	370001	2000	0.02253789955	14470.54659	15	0.0075	0.02253789955
380000	380001	2000	0.02027123973	12436.3019	15	0.0075	0.02027123973
390000	390001	2000	0.02045755985	14442.83309	15	0.0075	0.02045755985
400000	400001	2000	0.01866938444	18315.89626	15	0.0075	0.01866938444
410000	410001	2000	0.01610439641	17708.66606	15	0.0075	0.01610439641
420000	420001	2000	0.01947575492	21331.00627	15	0.0075	0.01947575492
430000	430001	2000	0.02021837958	25732.20177	15	0.0075	0.02021837958
440000	440001	2000	0.02206933153	34976.2609	15	0.0075	0.02206933153
450000	450001	2000	0.02149566512	31672.69884	15	0.0075	0.02149566512
460000	460001	2000	0.02094361235	23857.46115	15	0.0075	0.02094361235
470000	470001	2000	0.0211288322	20582.82433	15	0.0075	0.0211288322
480000	480001	2000	0.02306577567	15934.73669	14	0.007	0.02306577567
490000	490001	2000	0.02363502348	17112.27752	13	0.0065	0.02363502348
500000	500001	2000	0.02371337802	22813.58855	12	0.006	0.02371337802
510000	510001	2000	0.02270164634	14713.12984	12	0.006	0.02270164634
520000	520001	2000	0.02228095312	13703.03761	14	0.007	0.02228095312
530000	530001	2000	0.0231798221	16663.3349	15	0.0075	0.0231798221
540000	540001	2000	0.02545802617	20759.62432	16	0.008	0.02545802617
550000	550001	2000	0.02311073959	21490.93609	16	0.008	0.02311073959
560000	560001	2000	0.01908389264	22281.67365	15	0.0075	0.01908389264
570000	570001	2000	0.01896686865	29454.71286	15	0.0075	0.01896686865
580000	580001	2000	0.01916651772	34753.59649	17	0.0085	0.01916651772
590000	590001	2000	0.01956663159	29039.07238	17	0.0085	0.01956663159
600000	600001	2000	0.01988964184	26285.60183	16	0.008	0.01988964184
610000	610001	2000	0.02039654265	20545.40977	16	0.008	0.02039654265
620000	620001	2000	0.0197953381	20851.51671	17	0.0085	0.0197953381
630000	630001	2000	0.01958760551	19445.51547	18	0.009	0.01958760551
640000	640001	2000	0.01939029729	19651.87709	18	0.009	0.01939029729
650000	650001	2000	0.02083086812	13082.41826	18	0.009	0.02083086812
660000	660001	2000	0.02074937785	20331.74634	17	0.0085	0.02074937785
670000	670001	2000	0.02425032257	24970.85516	17	0.0085	0.02425032257
680000	680001	2000	0.02117220179	27940.10483	17	0.0085	0.02117220179
690000	690001	2000	0.02133532718	19483.18387	18	0.009	0.02133532718
700000	700001	2000	0.02210558806	19567.46033	18	0.009	0.02210558806
710000	710001	2000	0.02277861067	18243.48565	18	0.009	0.02277861067
720000	720001	2000	0.02263823316	16819.16034	18	0.009	0.02263823316
730000	730001	2000	0.02503061101	15513.34439	18	0.009	0.02503061101
740000	740001	2000	0.02618682142	19432.87658	16	0.008	0.02618682142
750000	750001	2000	0.0266404164	14036.80061	15	0.0075	0.0266404164
760000	760001	2000	0.02676131689	12514.64657	15	0.0075	0.02676131689
770000	770001	2000	0.02583025899	15584.2789	15	0.0075	0.02583025899
780000	780001	2000	0.02614385959	29703.91938	14	0.007	0.02614385959
790000	790001	2000	0.02433194204	22405.77001	15	0.0075	0.02433194204
800000	800001	2000	0.02169440589	15830.21563	14	0.007	0.02169440589
810000	810001	2000	0.02198675195	11619.24734	14	0.007	0.02198675195
820000	820001	2000	0.02271995309	13498.71298	14	0.007	0.02271995309
830000	830001	2000	0.0212030189	23681.86459	11	0.0055	0.0212030189
840000	840001	2000	0.0189082693	30604.95866	10	0.005	0.0189082693
850000	850001	2000	0.01766635924	22662.28469	10	0.005	0.01766635924
860000	860001	2000	0.01750245509	21042.54248	10	0.005	0.01750245509
870000	870001	2000	0.01837266315	18871.76106	10	0.005	0.01837266315
880000	880001	2000	0.01740559073	16054.84167	9	0.0045	0.01740559073
890000	890001	2000	0.02301816048	11249.88706	8	0.004	0.02301816048
900000	900001	2000	0.02698110973	9344.766684	9	0.0045	0.02698110973
910000	910001	2000	0.02237677891	18977.16984	9	0.0045	0.02237677891
