region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	795000	805000	0.795	0.805	1	0.0297029702970297	0.03073284043
2	2705000	2715000	2.705	2.715	1	0.04950495049504951	0.0325123088
3	2725000	2735000	2.725	2.735	1	0.039603960396039604	0.03128347405
4	2745000	2785000	2.745	2.785	4	0.019801980198019802	0.03435555449
5	2815000	2835000	2.815	2.835	2	0.019801980198019802	0.03271622026
6	2915000	2925000	2.915	2.925	1	0.019801980198019802	0.03094291181
7	2945000	2955000	2.945	2.955	1	0.04950495049504951	0.02845810284
8	2965000	3025000	2.965	3.025	6	0.009900990099009901	0.03869403399
9	3035000	3105000	3.035	3.105	7	0.019801980198019802	0.03615404844
10	3115000	3335000	3.115	3.335	22	0.009900990099009901	0.05406977357
11	3355000	3415000	3.355	3.415	6	0.009900990099009901	0.0397466479
12	3425000	3465000	3.425	3.465	4	0.019801980198019802	0.03882958623
13	3575000	3585000	3.575	3.585	1	0.0297029702970297	0.03170006159
14	3605000	3615000	3.605	3.615	1	0.039603960396039604	0.03249258645
15	3815000	3825000	3.815	3.825	1	0.04950495049504951	0.03325692855
16	3855000	3885000	3.855	3.885	3	0.019801980198019802	0.03466537249
17	3915000	5355000	3.915	5.355	144	0.009900990099009901	0.07979581191
18	5485000	5505000	5.485	5.505	2	0.039603960396039604	0.03122774264
19	5525000	5615000	5.525	5.615	9	0.009900990099009901	0.04386494141
20	5825000	5835000	5.825	5.835	1	0.0297029702970297	0.03390741924
21	5935000	5945000	5.935	5.945	1	0.04950495049504951	0.0333461602
22	5985000	6025000	5.985	6.025	4	0.009900990099009901	0.03935545729
23	6145000	6155000	6.145	6.155	1	0.0297029702970297	0.03344027705
24	6415000	6425000	6.415	6.425	1	0.0297029702970297	0.03154595766
25	6575000	6595000	6.575	6.595	2	0.039603960396039604	0.0332752994
26	7215000	7225000	7.215	7.225	1	0.039603960396039604	0.02956861182
27	7245000	7255000	7.245	7.255	1	0.039603960396039604	0.02958171026
28	7665000	7685000	7.665	7.685	2	0.019801980198019802	0.03599320562
29	7785000	7835000	7.785	7.835	5	0.009900990099009901	0.04369045258
30	8585000	8595000	8.585	8.595	1	0.0297029702970297	0.03075264157
31	9265000	9295000	9.265	9.295	3	0.009900990099009901	0.03539914114
32	9455000	9475000	9.455	9.475	2	0.009900990099009901	0.03664048606
33	9875000	9905000	9.875	9.905	3	0.0297029702970297	0.0336924412
34	9915000	9925000	9.915	9.925	1	0.04950495049504951	0.02732407557
