replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	640	23
1	587	14
2	332	0
3	452	90
4	399	57
5	225	10
6	443	184
7	134	0
8	243	0
9	501	0
10	734	95
11	636	81
12	234	16
13	548	0
14	431	2
15	585	203
16	714	94
17	500	0
18	233	16
19	698	1
20	245	107
21	435	11
22	335	16
23	289	0
24	232	16
25	492	95
26	195	23
27	253	25
28	392	55
29	283	48
30	539	123
31	295	0
32	406	42
33	291	0
34	509	63
35	401	134
36	326	11
37	353	19
38	339	47
39	193	14
40	511	91
41	334	71
42	650	25
43	294	61
44	422	20
45	318	13
46	498	0
47	384	98
48	226	94
49	253	35
50	230	0
51	390	25
52	467	33
53	592	0
54	200	0
55	255	0
56	163	0
57	390	133
58	358	18
59	437	145
60	383	16
61	537	2
62	500	13
63	240	16
64	860	19
65	639	0
66	508	37
67	273	65
68	441	23
69	652	114
70	284	3
71	313	14
72	415	35
73	185	0
74	202	25
75	340	4
76	366	0
77	743	76
78	282	16
79	320	8
80	524	291
81	483	49
82	573	99
83	354	0
84	476	0
85	470	3
86	250	0
87	70	0
88	268	50
89	214	0
90	617	0
91	696	124
92	615	0
93	262	0
94	266	0
95	260	0
96	481	101
97	610	161
98	263	0
99	321	43
