replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	54	9
1	26	0
2	33	6
3	44	6
4	43	1
5	46	1
6	49	6
7	29	5
8	44	4
9	38	2
10	34	1
11	47	0
12	40	2
13	53	1
14	36	6
15	38	10
16	43	5
17	55	6
18	32	5
19	44	3
20	24	3
21	40	7
22	19	3
23	59	3
24	47	8
25	47	5
26	51	12
27	31	0
28	36	4
29	51	2
30	44	3
31	39	5
32	46	8
33	40	6
34	29	2
35	31	5
36	43	3
37	33	7
38	37	3
39	34	1
40	30	2
41	39	2
42	25	4
43	32	4
44	42	1
45	28	4
46	48	6
47	42	5
48	42	6
49	55	7
50	47	0
51	23	2
52	39	4
53	16	1
54	38	4
55	43	4
56	47	2
57	28	1
58	35	5
59	30	2
60	47	5
61	50	10
62	61	12
63	25	5
64	31	0
65	29	4
66	25	3
67	36	4
68	39	8
69	61	6
70	44	3
71	27	0
72	38	3
73	43	4
74	47	5
75	45	2
76	30	0
77	52	7
78	32	0
79	41	3
80	49	7
81	54	17
82	29	0
83	29	5
84	40	2
85	43	5
86	34	0
87	34	5
88	47	5
89	56	9
90	46	6
91	59	7
92	36	4
93	41	2
94	43	1
95	37	3
96	60	2
97	46	0
98	39	2
99	37	3
