position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations
0.0	0	hom_ref	743	35863.33203597359	975.609775607674	33998.29240269042	37830.681890973705
0.0	2	hom_alt	274	35415.3853177466	1602.1351421594607	32397.650111743875	38714.21269377209
50000.0	0	hom_ref	743	12941.820581300788	326.1112239024947	12317.187199697326	13598.13058314941
50000.0	2	hom_alt	274	12954.252177932274	543.3579157042078	11927.52271357824	14069.363229836978
100000.0	0	hom_ref	743	16785.09926992083	351.93980106475567	16108.20972889998	17490.43265780328
100000.0	2	hom_alt	274	16809.216034324098	573.4306505634679	15717.3820994264	17976.896018764466
150000.0	0	hom_ref	743	25789.48673881653	691.7377053271229	24466.62521020294	27183.872746546105
150000.0	2	hom_alt	274	23815.983154959227	1103.092274924925	21740.40294718475	26089.721290595986
200000.0	0	hom_ref	743	37921.15377184264	1519.617756278646	35052.220657370446	41024.90160164399
200000.0	2	hom_alt	274	35664.80755792318	2432.68100911053	31183.241556117886	40790.4513664694
250000.0	0	hom_ref	743	14147.42029169237	256.12939295677603	13653.426425032492	14659.287323131617
250000.0	2	hom_alt	274	13117.366218586772	440.65384615556115	12277.918875161731	14014.206989151076
300000.0	0	hom_ref	743	10372.601780213861	153.5621751570786	10075.47248178391	10678.493528260453
300000.0	2	hom_alt	274	10444.268152051898	248.80705033992578	9965.752424979639	10945.760297892251
350000.0	0	hom_ref	743	9457.3436476285	373.4345695197158	8751.924059924955	10219.621223507977
350000.0	2	hom_alt	274	8923.42120890723	546.3848769952189	7910.061772903532	10066.602304465527
400000.0	0	hom_ref	743	18936.341629096114	294.1284310108963	18367.63345233752	19522.65844287109
400000.0	2	hom_alt	274	17681.178220803715	523.0829716505777	16680.803880830008	18741.54660106633
450000.0	0	hom_ref	743	15333.232589318697	592.4546942121381	14213.163401081445	16541.568896636774
450000.0	2	hom_alt	274	15938.0954203278	1017.1804054964514	14056.27485222125	18071.84963997285
500000.0	0	hom_ref	743	15717.846427008642	378.1748156836043	14992.68736832328	16478.079628672833
500000.0	2	hom_alt	274	14763.748241965084	618.0451464290597	13595.796741881484	16032.033009193332
550000.0	0	hom_ref	743	31893.69837616279	949.0422425626894	30083.945289086165	33812.320370050365
550000.0	2	hom_alt	274	31576.055147709663	1566.4973225259275	28637.920131502677	34815.630957585374
600000.0	0	hom_ref	743	9004.936187791618	147.00625662802292	8720.914065822475	9298.208322449684
600000.0	2	hom_alt	274	8781.209154726468	260.8617969025494	8282.381502822127	9310.079980350785
650000.0	0	hom_ref	743	25560.1206621338	636.434053678057	24340.74038031932	26840.58734676288
650000.0	2	hom_alt	274	25006.33506657347	1089.7889648765565	22950.33653918561	27246.51956166614
700000.0	0	hom_ref	743	20215.29194578519	540.2743777280001	19181.98805820394	21304.25830801978
700000.0	2	hom_alt	274	18581.88157467044	843.0952803588699	16994.05737816928	20318.062671639243
750000.0	0	hom_ref	743	17788.622901701034	401.9017572310469	17016.86480818382	18595.38218736634
750000.0	2	hom_alt	274	17499.97393446527	663.4621486546758	16241.375052891679	18856.105884485318
800000.0	0	hom_ref	743	18357.2550643314	468.0266361221676	17461.05624904039	19299.4518023754
800000.0	2	hom_alt	274	19695.107083984312	763.2429322383597	18248.40506253143	21256.501141903067
850000.0	0	hom_ref	743	9112.797289101662	144.5278187290881	8833.436746117963	9400.992707482013
850000.0	2	hom_alt	274	9416.22825288342	227.60751954354157	8978.633693656151	9875.149998940977
900000.0	0	hom_ref	743	9805.294058480895	230.37628898570424	9363.298925015904	10268.153600908072
900000.0	2	hom_alt	274	9718.449833781251	369.76855352461564	9017.085328352092	10474.367684505834
950000.0	0	hom_ref	743	10145.256557676748	226.891552225105	9709.467348720545	10600.605257161307
950000.0	2	hom_alt	274	10233.519056945128	330.95597941334	9602.277052615927	10906.258142211082
1000000.0	0	hom_ref	743	14531.412109789071	500.46730150751074	13581.390013544957	15547.888522009087
1000000.0	2	hom_alt	274	14038.433508267899	831.6591300922909	12493.023843491936	15775.01314613465
1050000.0	0	hom_ref	743	34396.04983811844	847.8027888649999	32771.29877073245	36101.35358818692
1050000.0	2	hom_alt	274	31870.051310014427	1403.8423095570884	29222.762371995632	34757.15805280286
1100000.0	0	hom_ref	743	25783.166145855153	779.1308102126238	24298.088796675474	27359.01008789329
1100000.0	2	hom_alt	274	26657.383690592495	1295.6650279293656	24224.85521180628	29334.17347655144
1150000.0	0	hom_ref	743	12229.125364249048	332.1566130992521	11594.126783275533	12898.9021743532
1150000.0	2	hom_alt	274	13145.659651962333	557.5206003808876	12092.645465469526	14290.36914864358
