region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	265000	295000	0.265	0.295	3	0.009900990099009901	0.0003328770955
2	345000	365000	0.345	0.365	2	0.009900990099009901	0.0002227252892
3	885000	915000	0.885	0.915	3	0.019801980198019802	0.0001740275989
4	985000	995000	0.985	0.995	1	0.039603960396039604	0.0001477402586
5	1095000	1105000	1.095	1.105	1	0.04950495049504951	0.0001672070214
6	1185000	1205000	1.185	1.205	2	0.009900990099009901	0.0002401712725
7	1895000	1905000	1.895	1.905	1	0.009900990099009901	0.0002229230608
8	1915000	1925000	1.915	1.925	1	0.0297029702970297	0.0001801635498
9	2365000	2375000	2.365	2.375	1	0.04950495049504951	0.0001540651379
10	2415000	2425000	2.415	2.425	1	0.039603960396039604	0.000165037793
11	2475000	2515000	2.475	2.515	4	0.009900990099009901	0.0002263584529
12	2625000	2635000	2.625	2.635	1	0.019801980198019802	0.0001877296801
13	2725000	2735000	2.725	2.735	1	0.019801980198019802	0.0002134286203
14	3295000	3315000	3.295	3.315	2	0.039603960396039604	0.0001600139477
15	4045000	4055000	4.045	4.055	1	0.04950495049504951	0.0001542434876
16	4435000	4445000	4.435	4.445	1	0.039603960396039604	0.0001773774827
17	4555000	4565000	4.555	4.565	1	0.019801980198019802	0.0001973561805
18	4575000	4585000	4.575	4.585	1	0.039603960396039604	0.0001852194122
19	5685000	5695000	5.685	5.695	1	0.009900990099009901	0.0002029289848
20	6035000	6045000	6.035	6.045	1	0.0297029702970297	0.0001659944342
21	6335000	6345000	6.335	6.345	1	0.0297029702970297	0.0001740816779
22	6855000	6865000	6.855	6.865	1	0.039603960396039604	0.0001657291164
23	7275000	7315000	7.275	7.315	4	0.019801980198019802	0.0002342062692
24	7815000	7835000	7.815	7.835	2	0.019801980198019802	0.0001866660128
25	8825000	8835000	8.825	8.835	1	0.009900990099009901	0.0002036786032
26	9205000	9265000	9.205	9.265	6	0.009900990099009901	0.0002429329955
27	9275000	9285000	9.275	9.285	1	0.039603960396039604	0.0001526299621
28	9325000	9335000	9.325	9.335	1	0.009900990099009901	0.0002091900727
