attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds
0	930777	False	lost	0.0	7.6030000002447196e-06	0.5412573159999852
1	930787	False	lost	0.0	8.967000013626603e-06	0.5238828740000088
2	930797	False	lost	0.0	8.555999983173024e-06	0.5236712030000206
3	930807	False	lost	0.0	1.0250000002542947e-05	0.5201101879999896
4	930817	False	lost	0.0	7.642000014129735e-06	0.522751817999989
5	930827	False	lost	0.0	7.992999996986327e-06	0.5770764700000086
6	930837	False	lost	0.0	1.0089999989304488e-05	0.5752846919999968
7	930847	False	lost	0.0	7.320999998228217e-06	0.5447595040000124
8	930857	False	lost	0.0	4.168300000628733e-05	0.5720521769999891
9	930867	False	lost	0.0	2.5284999992436497e-05	0.5249112600000103
10	930877	False	lost	0.0	1.788299999816445e-05	0.5629908479999983
11	930887	False	segregating	0.034025	1.672000001917695e-05	2.936971975000006
12	930897	False	segregating	0.0374	1.6438000017160448e-05	2.9464416099999937
13	930907	False	lost	0.0	2.0419999998466665e-05	0.5764505049999968
14	930917	False	lost	0.0	2.3429999998825224e-05	0.5278133939999918
15	930927	False	lost	0.0	2.2586999989471224e-05	0.5090231290000133
16	930937	False	lost	0.0	1.5044000008401781e-05	0.5447675400000094
17	930947	False	lost	0.0	2.497400001288952e-05	0.5145243979999918
18	930957	False	lost	0.0	1.1814999993475794e-05	0.5154949509999938
19	930967	False	lost	0.0	1.4723999981924862e-05	0.5431210739999983
20	930977	False	lost	0.0	8.041000000957865e-06	0.5361917949999793
21	930987	False	lost	0.0	8.011000005581081e-06	0.5214937180000163
22	930997	False	lost	0.0	7.078999999521329e-06	0.5495416859999978
23	931007	False	segregating	0.010225	6.9079999889254395e-06	2.780329753000018
24	931017	False	lost	0.0	9.986000009121199e-06	0.5187758570000085
25	931027	False	lost	0.0	1.0137000003851426e-05	0.49566126300001656
26	931037	False	lost	0.0	1.6283000007888404e-05	0.555147470999998
27	931047	False	lost	0.0	7.390000007490016e-06	0.5086312530000043
28	931057	False	lost	0.0	1.2873999992280005e-05	0.5079800350000028
29	931067	False	lost	0.0	1.1048999994045516e-05	0.5180055220000099
30	931077	False	lost	0.0	4.177099998514677e-05	0.4834272589999955
31	931087	False	lost	0.0	1.2042000008705145e-05	0.5084771209999985
32	931097	False	lost	0.0	1.9211000022778535e-05	0.5033660349999991
33	931107	False	lost	0.0	2.2399000016548598e-05	0.5301890730000025
34	931117	False	lost	0.0	1.8037000018011895e-05	0.4749625139999978
35	931127	False	lost	0.0	1.0639000009859956e-05	0.7816249669999991
36	931137	False	lost	0.0	2.2229000023799017e-05	0.5173347410000133
37	931147	False	lost	0.0	1.5802000007170136e-05	0.498341699000008
38	931157	False	lost	0.0	2.6781000002529254e-05	0.5083978929999944
39	931167	False	lost	0.0	1.5620999988641415e-05	0.5057050190000041
40	931177	False	lost	0.0	1.4948000000458705e-05	0.5160747179999987
41	931187	False	lost	0.0	1.0857000006581075e-05	0.4827839250000068
42	931197	False	lost	0.0	9.023000018260063e-06	0.5052810050000005
43	931207	False	lost	0.0	1.0164999991957302e-05	0.570004573999995
44	931217	False	lost	0.0	8.090000022775712e-06	0.49532841500001723
45	931227	False	lost	0.0	7.960000004914036e-06	0.4960913449999964
46	931237	False	lost	0.0	8.781999980556066e-06	0.5045533820000117
47	931247	False	lost	0.0	9.292999976651117e-06	0.48064188099999683
48	931257	False	lost	0.0	1.2631000004148518e-05	0.5004101129999867
49	931267	False	lost	0.0	1.2722000008125178e-05	0.5082426870000063
50	931277	False	segregating	0.071075	1.1639000007335198e-05	2.8233391109999957
51	931287	False	lost	0.0	1.097699998808821e-05	0.5110745140000006
52	931297	False	lost	0.0	1.7965000012054588e-05	0.4967040170000132
53	931307	False	lost	0.0	1.0295999999243577e-05	0.4808744149999882
54	931317	False	lost	0.0	1.7514000006713104e-05	0.4966916500000025
55	931327	False	lost	0.0	1.4746999994486032e-05	0.5103194620000124
56	931337	False	segregating	0.0768	1.707300000930445e-05	2.9028019099999938
