replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	49	4
1	60	1
2	25	0
3	53	7
4	49	10
5	28	0
6	36	1
7	27	0
8	39	1
9	34	0
10	68	2
11	63	4
12	39	3
13	53	3
14	59	0
15	60	24
16	51	3
17	39	2
18	11	1
19	65	3
20	24	1
21	50	0
22	39	0
23	11	0
24	25	3
25	36	8
26	22	2
27	21	7
28	51	18
29	41	5
30	63	13
31	29	1
32	25	3
33	40	0
34	44	7
35	43	15
36	36	4
37	41	1
38	33	1
39	26	3
40	62	25
41	15	2
42	56	2
43	16	4
44	32	6
45	30	4
46	50	0
47	52	12
48	27	6
49	28	5
50	46	2
51	27	3
52	39	2
53	46	0
54	25	1
55	23	0
56	12	4
57	31	11
58	57	0
59	60	16
60	34	15
61	55	0
62	40	0
63	25	1
64	50	1
65	71	1
66	61	0
67	33	8
68	47	14
69	54	11
70	26	1
71	31	0
72	29	3
73	24	1
74	18	1
75	42	0
76	41	3
77	63	5
78	33	0
79	46	9
80	42	16
81	39	7
82	40	0
83	43	0
84	57	0
85	39	1
86	33	0
87	10	0
88	28	1
89	20	0
90	73	1
91	76	13
92	54	0
93	53	0
94	41	0
95	31	2
96	32	4
97	66	13
98	16	0
99	42	6
