region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	679500	680500	0.6795	0.6805	1	0.04950495049504951	0.03000761475
2	1972500	1974500	1.9725	1.9745	2	0.04950495049504951	0.03089692871
3	1987500	1993500	1.9875	1.9935	6	0.0297029702970297	0.03159482829
4	2704500	2709500	2.7045	2.7095	5	0.039603960396039604	0.03294224287
5	2760500	2776500	2.7605	2.7765	16	0.019801980198019802	0.03058435941
6	2777500	2780500	2.7775	2.7805	3	0.039603960396039604	0.03002058357
7	2804500	2900500	2.8045	2.9005	96	0.009900990099009901	0.03625095223
8	2904500	2927500	2.9045	2.9275	23	0.0297029702970297	0.03243048492
9	2936500	2937500	2.9365	2.9375	1	0.04950495049504951	0.0295555422
10	2939500	2957500	2.9395	2.9575	18	0.019801980198019802	0.03129657152
11	2962500	2980500	2.9625	2.9805	18	0.019801980198019802	0.03108119843
12	2987500	2989500	2.9875	2.9895	2	0.04950495049504951	0.02955161104
13	2998500	2999500	2.9985	2.9995	1	0.04950495049504951	0.03143939296
14	3000500	3324500	3.0005	3.3245	324	0.009900990099009901	0.05358467708
15	3334500	3339500	3.3345	3.3395	5	0.039603960396039604	0.03151710439
16	3447500	3453500	3.4475	3.4535	6	0.04950495049504951	0.0341783827
17	3469500	3470500	3.4695	3.4705	1	0.04950495049504951	0.03174553864
18	3520500	3521500	3.5205	3.5215	1	0.04950495049504951	0.02986618135
19	3522500	3534500	3.5225	3.5345	12	0.0297029702970297	0.03031808501
20	3553500	3571500	3.5535	3.5715	18	0.019801980198019802	0.03468708501
21	3838500	3875500	3.8385	3.8755	37	0.019801980198019802	0.03484774582
22	3877500	3890500	3.8775	3.8905	13	0.04950495049504951	0.03458101895
23	3895500	5323500	3.8955	5.3235	1428	0.009900990099009901	0.0810631688
24	5342500	5349500	5.3425	5.3495	7	0.039603960396039604	0.03149434115
25	5430500	5435500	5.4305	5.4355	5	0.04950495049504951	0.03126499842
26	5467500	5469500	5.4675	5.4695	2	0.04950495049504951	0.02658445423
27	5475500	5615500	5.4755	5.6155	140	0.009900990099009901	0.04431694108
28	5892500	5893500	5.8925	5.8935	1	0.04950495049504951	0.03437564506
29	5894500	5901500	5.8945	5.9015	7	0.04950495049504951	0.0361920838
30	5909500	5920500	5.9095	5.9205	11	0.039603960396039604	0.0413594202
31	5949500	5955500	5.9495	5.9555	6	0.04950495049504951	0.03384364573
32	5968500	5983500	5.9685	5.9835	15	0.019801980198019802	0.03522384142
33	6047500	6048500	6.0475	6.0485	1	0.04950495049504951	0.03410777276
34	6049500	6053500	6.0495	6.0535	4	0.039603960396039604	0.03441680897
35	6082500	6116500	6.0825	6.1165	34	0.009900990099009901	0.04803772632
36	6178500	6186500	6.1785	6.1865	8	0.039603960396039604	0.0302427101
37	6208500	6220500	6.2085	6.2205	12	0.0297029702970297	0.03255276465
38	6283500	6293500	6.2835	6.2935	10	0.0297029702970297	0.03137917029
39	6329500	6339500	6.3295	6.3395	10	0.019801980198019802	0.0340729849
40	7225500	7227500	7.2255	7.2275	2	0.04950495049504951	0.03226776239
41	7233500	7249500	7.2335	7.2495	16	0.0297029702970297	0.03109583628
42	7328500	7343500	7.3285	7.3435	15	0.0297029702970297	0.03480385742
43	7580500	7585500	7.5805	7.5855	5	0.0297029702970297	0.02865688172
44	7599500	7605500	7.5995	7.6055	6	0.0297029702970297	0.02837471764
45	7651500	7674500	7.6515	7.6745	23	0.019801980198019802	0.03535449735
46	7809500	7825500	7.8095	7.8255	16	0.0297029702970297	0.03291324635
47	8767500	8775500	8.7675	8.7755	8	0.039603960396039604	0.02953316675
48	9112500	9126500	9.1125	9.1265	14	0.009900990099009901	0.03456825212
49	9201500	9202500	9.2015	9.2025	1	0.04950495049504951	0.02984187191
50	9203500	9207500	9.2035	9.2075	4	0.04950495049504951	0.03165993147
51	9233500	9253500	9.2335	9.2535	20	0.009900990099009901	0.03907327128
52	9286500	9295500	9.2865	9.2955	9	0.0297029702970297	0.03224327631
53	9318500	9325500	9.3185	9.3255	7	0.039603960396039604	0.03092394197
54	9877500	9888500	9.8775	9.8885	11	0.019801980198019802	0.03357128084
