region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	62500	69500	0.0625	0.0695	7	0.019801980198019802	0.0001875721938
2	261500	266500	0.2615	0.2665	5	0.019801980198019802	0.0002123198951
3	267500	271500	0.2675	0.2715	4	0.039603960396039604	0.0001668269441
4	276500	299500	0.2765	0.2995	23	0.009900990099009901	0.0003372148132
5	301500	309500	0.3015	0.3095	8	0.0297029702970297	0.0002062668155
6	347500	363500	0.3475	0.3635	16	0.009900990099009901	0.0002664060732
7	514500	515500	0.5145	0.5155	1	0.04950495049504951	0.0001447135908
8	613500	619500	0.6135	0.6195	6	0.0297029702970297	0.0001579266126
9	663500	666500	0.6635	0.6665	3	0.039603960396039604	0.0001889328823
10	671500	673500	0.6715	0.6735	2	0.04950495049504951	0.0001285278696
11	822500	827500	0.8225	0.8275	5	0.0297029702970297	0.0001736510105
12	878500	881500	0.8785	0.8815	3	0.019801980198019802	0.0001568918844
13	884500	891500	0.8845	0.8915	7	0.019801980198019802	0.0002054602463
14	892500	900500	0.8925	0.9005	8	0.009900990099009901	0.0002203534139
15	901500	908500	0.9015	0.9085	7	0.009900990099009901	0.000234346356
16	962500	963500	0.9625	0.9635	1	0.04950495049504951	0.0001427943434
17	964500	967500	0.9645	0.9675	3	0.019801980198019802	0.0001449248365
18	988500	999500	0.9885	0.9995	11	0.009900990099009901	0.000190930196
19	1003500	1004500	1.0035	1.0045	1	0.019801980198019802	0.0001550792378
20	1098500	1105500	1.0985	1.1055	7	0.009900990099009901	0.0001937047297
21	1112500	1116500	1.1125	1.1165	4	0.0297029702970297	0.0001867252698
22	1118500	1119500	1.1185	1.1195	1	0.04950495049504951	0.0001701446228
23	1168500	1178500	1.1685	1.1785	10	0.019801980198019802	0.00018807239
24	1179500	1180500	1.1795	1.1805	1	0.04950495049504951	0.0001319433115
25	1181500	1184500	1.1815	1.1845	3	0.019801980198019802	0.0001608184746
26	1189500	1209500	1.1895	1.2095	20	0.009900990099009901	0.0002248118195
27	1213500	1217500	1.2135	1.2175	4	0.0297029702970297	0.0001619302931
28	1469500	1471500	1.4695	1.4715	2	0.0297029702970297	0.0001444180945
29	1571500	1574500	1.5715	1.5745	3	0.039603960396039604	0.0001490554555
30	1896500	1918500	1.8965	1.9185	22	0.009900990099009901	0.0002538914618
31	1919500	1922500	1.9195	1.9225	3	0.019801980198019802	0.0001849026558
32	1956500	1958500	1.9565	1.9585	2	0.039603960396039604	0.000148787845
33	2128500	2136500	2.1285	2.1365	8	0.0297029702970297	0.0002151433263
34	2208500	2211500	2.2085	2.2115	3	0.0297029702970297	0.0001769343645
35	2294500	2300500	2.2945	2.3005	6	0.0297029702970297	0.0001690557504
36	2362500	2366500	2.3625	2.3665	4	0.019801980198019802	0.0001659516585
37	2367500	2369500	2.3675	2.3695	2	0.04950495049504951	0.0001524703492
38	2413500	2420500	2.4135	2.4205	7	0.019801980198019802	0.0001821797203
39	2471500	2474500	2.4715	2.4745	3	0.039603960396039604	0.0001661690973
40	2478500	2490500	2.4785	2.4905	12	0.009900990099009901	0.0003056047892
41	2493500	2498500	2.4935	2.4985	5	0.0297029702970297	0.0002106976262
42	2507500	2511500	2.5075	2.5115	4	0.009900990099009901	0.0002046429249
43	2614500	2619500	2.6145	2.6195	5	0.0297029702970297	0.0002144741116
44	2620500	2633500	2.6205	2.6335	13	0.009900990099009901	0.0002167067088
45	2726500	2731500	2.7265	2.7315	5	0.0297029702970297	0.0002092662129
46	2824500	2825500	2.8245	2.8255	1	0.04950495049504951	0.0001155662302
47	3234500	3237500	3.2345	3.2375	3	0.0297029702970297	0.0001740052252
48	3248500	3255500	3.2485	3.2555	7	0.019801980198019802	0.0001970563837
49	3293500	3295500	3.2935	3.2955	2	0.019801980198019802	0.0001526438083
50	3299500	3306500	3.2995	3.3065	7	0.009900990099009901	0.0001926639458
51	3308500	3309500	3.3085	3.3095	1	0.039603960396039604	0.0001435727023
52	3313500	3316500	3.3135	3.3165	3	0.019801980198019802	0.000167556363
53	3338500	3339500	3.3385	3.3395	1	0.04950495049504951	0.0001434517194
54	4047500	4048500	4.0475	4.0485	1	0.04950495049504951	0.0001573942442
55	4050500	4053500	4.0505	4.0535	3	0.039603960396039604	0.0001764779985
56	4147500	4153500	4.1475	4.1535	6	0.0297029702970297	0.0001681348347
57	4438500	4443500	4.4385	4.4435	5	0.019801980198019802	0.0001832293925
58	4553500	4554500	4.5535	4.5545	1	0.04950495049504951	0.0001630391548
59	4556500	4568500	4.5565	4.5685	12	0.009900990099009901	0.0002505934644
60	4574500	4578500	4.5745	4.5785	4	0.0297029702970297	0.0002099345833
61	4595500	4599500	4.5955	4.5995	4	0.0297029702970297	0.0001821451353
62	5687500	5697500	5.6875	5.6975	10	0.009900990099009901	0.0002131798258
63	6041500	6047500	6.0415	6.0475	6	0.0297029702970297	0.0001898691494
64	6050500	6052500	6.0505	6.0525	2	0.04950495049504951	0.0001491569233
