replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	384	21
1	467	82
2	327	15
3	327	12
4	449	16
5	343	4
6	400	64
7	373	70
8	334	35
9	323	34
10	466	25
11	403	35
12	401	8
13	465	37
14	451	46
15	594	54
16	462	33
17	409	5
18	412	62
19	630	76
20	276	43
21	350	23
22	414	45
23	291	23
24	412	67
25	210	26
26	273	14
27	340	48
28	400	48
29	410	32
30	546	26
31	419	74
32	369	9
33	439	30
34	392	69
35	314	51
36	468	6
37	280	29
38	398	84
39	589	33
40	331	36
41	331	32
42	294	14
43	338	14
44	338	3
45	390	59
46	488	12
47	488	82
48	286	15
49	286	3
50	469	39
51	293	35
52	364	27
53	473	31
54	430	21
55	455	78
56	386	104
57	372	43
58	418	20
59	577	99
60	414	49
61	396	69
62	349	60
63	470	31
64	481	11
65	448	37
66	311	16
67	383	49
68	379	36
69	489	71
70	263	15
71	482	25
72	403	77
73	445	48
74	323	24
75	454	101
76	372	53
77	372	22
78	381	28
79	385	51
80	505	58
81	267	25
82	536	33
83	383	52
84	562	44
85	344	38
86	319	20
87	302	20
88	435	5
89	399	36
90	434	63
91	378	71
92	560	76
93	513	40
94	247	23
95	473	86
96	418	16
97	427	68
98	362	11
99	319	65
