tick	generations_ago	population_allele_frequency	selected_attempt
1	180	5e-05	1468
2	179	0.0001	1468
3	178	0.0002	1468
4	177	0.0003	1468
5	176	0.00025	1468
6	175	0.0004	1468
7	174	0.0004	1468
8	173	0.0003	1468
9	172	0.00035	1468
10	171	0.00035	1468
11	170	0.0004	1468
12	169	0.00055	1468
13	168	0.0009	1468
14	167	0.0012	1468
15	166	0.00145	1468
16	165	0.00175	1468
17	164	0.00175	1468
18	163	0.0021	1468
19	162	0.00285	1468
20	161	0.0029	1468
21	160	0.0032	1468
22	159	0.0034	1468
23	158	0.0039	1468
24	157	0.0044	1468
25	156	0.0043	1468
26	155	0.00395	1468
27	154	0.0048	1468
28	153	0.00505	1468
29	152	0.0052	1468
30	151	0.0048	1468
31	150	0.005	1468
32	149	0.00535	1468
33	148	0.0055	1468
34	147	0.00555	1468
35	146	0.00605	1468
36	145	0.00615	1468
37	144	0.00605	1468
38	143	0.00565	1468
39	142	0.00625	1468
40	141	0.0076	1468
41	140	0.0075	1468
42	139	0.0078	1468
43	138	0.00825	1468
44	137	0.0084	1468
45	136	0.00775	1468
46	135	0.0089	1468
47	134	0.0094	1468
48	133	0.0095	1468
49	132	0.0101	1468
50	131	0.0119	1468
51	130	0.01405	1468
52	129	0.01335	1468
53	128	0.01405	1468
54	127	0.0136	1468
55	126	0.01395	1468
56	125	0.01525	1468
57	124	0.01605	1468
58	123	0.01555	1468
59	122	0.0153	1468
60	121	0.0166	1468
61	120	0.01745	1468
62	119	0.0195	1468
63	118	0.02155	1468
64	117	0.0222	1468
65	116	0.0228	1468
66	115	0.02435	1468
67	114	0.02545	1468
68	113	0.02615	1468
69	112	0.02535	1468
70	111	0.02845	1468
71	110	0.0281	1468
72	109	0.0298	1468
73	108	0.0325	1468
74	107	0.0352	1468
75	106	0.0361	1468
76	105	0.0382	1468
77	104	0.038	1468
78	103	0.03775	1468
79	102	0.03685	1468
80	101	0.03655	1468
81	100	0.03815	1468
82	99	0.0376	1468
83	98	0.038825	1468
84	97	0.03905	1468
85	96	0.04095	1468
86	95	0.0424	1468
87	94	0.04415	1468
88	93	0.0444	1468
89	92	0.0456	1468
90	91	0.046375	1468
91	90	0.04805	1468
92	89	0.052375	1468
93	88	0.053825	1468
94	87	0.05695	1468
95	86	0.059075	1468
96	85	0.061875	1468
97	84	0.06385	1468
98	83	0.06695	1468
99	82	0.0675	1468
100	81	0.06795	1468
101	80	0.06925	1468
102	79	0.0675	1468
103	78	0.068475	1468
104	77	0.0705	1468
105	76	0.0696	1468
106	75	0.0717	1468
107	74	0.076625	1468
108	73	0.07765	1468
109	72	0.07835	1468
110	71	0.083075	1468
111	70	0.084175	1468
112	69	0.08415	1468
113	68	0.08765	1468
114	67	0.088825	1468
115	66	0.091275	1468
116	65	0.093025	1468
117	64	0.094125	1468
118	63	0.097	1468
119	62	0.1006	1468
120	61	0.102025	1468
121	60	0.1066	1468
122	59	0.107125	1468
123	58	0.107975	1468
124	57	0.10905	1468
125	56	0.112975	1468
126	55	0.1154	1468
127	54	0.119	1468
128	53	0.1194	1468
129	52	0.1221	1468
130	51	0.123375	1468
131	50	0.12985	1468
132	49	0.131625	1468
133	48	0.1343	1468
134	47	0.13535	1468
135	46	0.140925	1468
136	45	0.14535	1468
137	44	0.146375	1468
138	43	0.14835	1468
139	42	0.1504	1468
140	41	0.155775	1468
141	40	0.158175	1468
142	39	0.162425	1468
143	38	0.16805	1468
144	37	0.17125	1468
145	36	0.17045	1468
146	35	0.1738	1468
147	34	0.17735	1468
148	33	0.178525	1468
149	32	0.181575	1468
150	31	0.1833	1468
151	30	0.185475	1468
152	29	0.1881	1468
153	28	0.194275	1468
154	27	0.19695	1468
155	26	0.20135	1468
156	25	0.204725	1468
157	24	0.209575	1468
158	23	0.216225	1468
159	22	0.215175	1468
160	21	0.218625	1468
161	20	0.21965	1468
162	19	0.222075	1468
163	18	0.227175	1468
164	17	0.236975	1468
165	16	0.2386	1468
166	15	0.2462	1468
167	14	0.251875	1468
168	13	0.255925	1468
169	12	0.2588	1468
170	11	0.262825	1468
171	10	0.270725	1468
172	9	0.2693	1468
173	8	0.273125	1468
174	7	0.278475	1468
175	6	0.28165	1468
176	5	0.285575	1468
177	4	0.29355	1468
178	3	0.299125	1468
179	2	0.3071	1468
180	1	0.316075	1468
181	0	0.3216	1468
