position_0based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations
0.0	100	0.6	139.91
249.995	100	0.6	139.91
499.99	100	0.56	147.39
749.985	100	0.56	146.76
999.98	100	0.56	146.76
1249.975	100	0.68	119.18
1499.97	100	0.68	186.06
1749.9650000000001	100	0.68	186.06
1999.96	100	0.68	186.06
2249.955	100	0.68	253.97042262498556
2499.95	100	0.68	112.14
2749.945	100	0.68	112.14
2999.94	100	0.68	112.14
3249.935	100	0.68	111.72
3499.9300000000003	100	0.68	111.72
3749.925	100	0.68	111.72
3999.92	100	0.68	111.72
4249.915	100	0.68	91.24
4499.91	100	0.71	88.38
4749.905	100	1.0	69.53
4999.9	100	1.0	69.53
5249.895	100	1.0	69.53
5499.89	100	1.0	69.53
5749.885	100	1.0	69.53
5999.88	100	1.0	70.37
6249.875	100	1.0	70.37
6499.87	100	1.0	66.97
6749.865	100	1.0	66.97
6999.860000000001	100	1.0	66.97
7249.8550000000005	100	1.0	65.62
7499.85	100	1.0	66.76
7749.845	100	1.0	67.21
7999.84	100	1.0	67.21
8249.835000000001	100	1.0	67.21
8499.83	100	1.0	67.21
8749.825	100	1.0	67.21
8999.82	100	1.0	67.21
9249.815	100	1.0	67.21
9499.81	100	1.0	67.21
9749.805	100	1.0	67.21
9999.8	100	1.0	66.7
10249.795	100	1.0	66.7
10499.79	100	1.0	66.7
10749.785	100	1.0	64.35
10999.78	100	1.0	64.23
11249.775	100	1.0	64.23
11499.77	100	1.0	51.85
11749.765	100	1.0	51.85
11999.76	100	1.0	50.92
12249.755000000001	100	0.53	92.75
12499.75	100	0.53	92.75
12749.745	100	0.54	91.44
12999.74	100	0.54	91.44
13249.735	100	0.54	91.44
13499.73	100	0.54	91.44
13749.725	100	0.54	91.44
13999.720000000001	100	0.55	90.24
14249.715	100	0.55	90.24
14499.710000000001	100	0.55	90.24
14749.705	100	0.55	90.24
14999.7	100	0.55	90.24
15249.695	100	0.55	90.24
15499.69	100	0.55	90.24
15749.685	100	0.55	90.24
15999.68	100	0.55	90.24
16249.675000000001	100	0.53	92.05
16499.670000000002	100	0.53	92.05
16749.665	100	0.53	92.05
16999.66	100	0.53	92.05
17249.655	100	0.53	92.05
17499.65	100	0.53	92.05
17749.645	100	0.53	92.05
17999.64	100	0.53	92.05
18249.635000000002	100	0.53	92.04
18499.63	100	0.53	92.13
18749.625	100	0.53	92.13
18999.62	100	0.96	46.48
19249.615	100	0.96	46.46
19499.61	100	0.96	46.46
19749.605	100	0.96	46.46
19999.6	100	0.96	46.46
20249.595	100	0.96	46.42
20499.59	100	0.96	41.16
20749.585	100	0.96	41.16
20999.58	100	0.96	41.16
21249.575	100	0.96	45.37
21499.57	100	0.96	45.28
21749.565	100	0.96	45.28
21999.56	100	0.96	45.36
22249.555	100	0.96	45.41
22499.55	100	0.96	45.41
22749.545000000002	100	1.0	37.73
22999.54	100	1.0	37.73
23249.535	100	1.0	37.73
23499.53	100	0.96	40.77
23749.525	100	0.96	40.85
23999.52	100	1.0	34.92
24249.515	100	1.0	35.0
24499.510000000002	100	1.0	35.08
24749.505	100	1.0	34.98
24999.5	100	1.0	34.98
25000.0	100	1.0	34.98
25249.495	100	1.0	34.97
25499.49	100	1.0	35.15
25749.485	100	1.0	35.15
25999.48	100	1.0	35.21
26249.475000000002	100	1.0	35.21
26499.47	100	1.0	35.21
26749.465	100	1.0	35.21
26999.46	100	1.0	35.13
27249.455	100	1.0	35.13
27499.45	100	1.0	35.13
27749.445	100	0.95	43.05
27999.440000000002	100	0.95	68.51532530394415
28249.435	100	0.95	68.65532530394415
28499.43	100	0.95	68.65532530394415
28749.425	100	0.93	81.94145542552182
28999.420000000002	100	0.93	81.94145542552182
29249.415	100	0.93	81.94145542552182
29499.41	100	0.93	81.94145542552182
29749.405	100	0.93	110.04673474465619
29999.4	100	0.93	59.68
30249.395	100	0.93	59.68
30499.39	100	0.93	59.68
30749.385000000002	100	0.93	60.08
30999.38	100	0.93	60.08
31249.375	100	0.94	56.53
31499.37	100	0.94	99.69862978113387
31749.365	100	0.94	99.69862978113387
31999.36	100	0.94	90.60887802797268
32249.355	100	1.0	40.62
32499.350000000002	100	1.0	40.62
32749.345	100	1.0	40.62
32999.340000000004	100	1.0	40.62
33249.335	100	1.0	40.62
33499.33	100	1.0	51.67
33749.325	100	1.0	51.67
33999.32	100	1.0	51.67
34249.315	100	0.96	57.57
34499.31	100	0.96	57.57
34749.305	100	0.96	57.57
34999.3	100	1.0	52.24
35249.295	100	1.0	52.24
35499.29	100	1.0	52.24
35749.285	100	1.0	52.43
35999.28	100	1.0	51.7
36249.275	100	1.0	54.1
36499.270000000004	100	1.0	54.1
36749.265	100	1.0	52.61
36999.26	100	1.0	52.61
37249.255	100	1.0	52.61
37499.25	100	1.0	54.22
37749.245	100	1.0	54.22
37999.24	100	1.0	54.22
38249.235	100	1.0	54.4
38499.23	100	1.0	54.34
38749.225	100	1.0	53.69
38999.22	100	1.0	53.69
39249.215000000004	100	1.0	53.69
39499.21	100	1.0	53.69
39749.205	100	1.0	55.15
39999.2	100	1.0	55.53
40249.195	100	1.0	55.53
40499.19	100	1.0	55.53
40749.185	100	1.0	55.53
40999.18	100	1.0	55.53
41249.175	100	1.0	55.53
41499.17	100	1.0	56.34
41749.165	100	1.0	56.15
41999.16	100	1.0	56.15
42249.155	100	0.76	69.75
42499.15	100	0.76	69.75
42749.145000000004	100	0.76	69.75
42999.14	100	0.67	83.05
43249.135	100	0.67	83.05
43499.13	100	0.67	83.05
43749.125	100	0.67	82.81
43999.12	100	0.67	82.81
44249.115	100	0.67	82.81
44499.11	100	0.67	82.81
44749.105	100	0.67	82.87
44999.1	100	0.67	102.34
45249.095	100	0.67	102.34
45499.090000000004	100	0.69	98.36
45749.085	100	0.69	98.36
45999.08	100	0.69	98.36
46249.075000000004	100	0.69	98.36
46499.07	100	0.7	96.43
46749.065	100	0.7	96.43
46999.06	100	0.85	74.43
47249.055	100	0.85	74.43
47499.05	100	0.85	74.43
47749.045	100	0.84	77.02
47999.04	100	0.87	69.74
48249.035	100	0.87	69.73
48499.03	100	0.75	94.1
48749.025	100	0.75	94.1
48999.020000000004	100	0.75	94.1
49249.015	100	0.75	93.77
49499.01	100	0.75	93.89
49749.005	100	0.75	93.85
49999.0	100	0.75	93.85
