replicate	statistic	leave_one_out_p	randomized_tie_p
0	0.01	0.54	0.32573173722785176
1	0.0	1.0	0.9146749509814706
2	0.0	1.0	0.8278749957510095
3	0.01	0.54	0.5078228525694942
4	0.0	1.0	0.6095527207645657
5	0.01	0.54	0.3109011190817711
6	0.01	0.54	0.3596836127348989
7	0.02	0.195	0.11050060432195127
8	0.0	1.0	0.6873772551669429
9	0.01	0.54	0.43615211207621984
10	0.01	0.54	0.22727471956884798
11	0.02	0.195	0.1882247757093094
12	0.02	0.195	0.07298902948383006
13	0.01	0.54	0.41015019232024463
14	0.0	1.0	0.9645735976244347
15	0.02	0.195	0.18417627833148845
16	0.0	1.0	0.5490223807656789
17	0.02	0.195	0.06671088393531656
18	0.02	0.195	0.10752339879181384
19	0.01	0.54	0.509375450364978
20	0.0	1.0	0.6821553186725993
21	0.0	1.0	0.8024730303639942
22	0.0	1.0	0.9080699844140867
23	0.0	1.0	0.8619269886913782
24	0.0	1.0	0.7749507918220402
25	0.0	1.0	0.6936160443647346
26	0.02	0.195	0.06450165688778813
27	0.0	1.0	0.8804520152589004
28	0.0	1.0	0.9958196605885391
29	0.01	0.54	0.45265110768599487
30	0.0	1.0	0.9934988140529106
31	0.01	0.54	0.36998558477550225
32	0.02	0.195	0.18437446460109935
33	0.0	1.0	0.8642698150630461
34	0.03	0.025	0.00524794121138159
35	0.0	1.0	0.9535571143459858
36	0.02	0.195	0.0896164855646604
37	0.0	1.0	0.835039841895646
38	0.0	1.0	0.7325979761746624
39	0.01	0.54	0.46062020757780425
40	0.01	0.54	0.49830755917555963
41	0.0	1.0	0.8334408074143156
42	0.0	1.0	0.8475451410437336
43	0.0	1.0	0.6451085206692465
44	0.0	1.0	0.820406795534621
45	0.0	1.0	0.8179863824150195
46	0.01	0.54	0.3693672981036207
47	0.01	0.54	0.5079920323050022
48	0.01	0.54	0.41624149684990014
49	0.01	0.54	0.32806095869972823
50	0.0	1.0	0.8797385443592628
51	0.0	1.0	0.5825447642794255
52	0.0	1.0	0.672035753801573
53	0.02	0.195	0.1260848506284275
54	0.01	0.54	0.2628396732850335
55	0.0	1.0	0.8545853856208869
56	0.02	0.195	0.18209467902413515
57	0.0	1.0	0.9687239933105929
58	0.0	1.0	0.9935094279929566
59	0.01	0.54	0.45341660178267434
60	0.0	1.0	0.6633510549705965
61	0.01	0.54	0.3836696595821789
62	0.02	0.195	0.15231445155573886
63	0.0	1.0	0.5873709122170131
64	0.0	1.0	0.8379291503844114
65	0.01	0.54	0.3513357972780027
66	0.01	0.54	0.5001992353925034
67	0.0	1.0	0.6438255832492721
68	0.02	0.195	0.05883303228721225
69	0.01	0.54	0.25563225888761454
70	0.02	0.195	0.17006014908065964
71	0.01	0.54	0.21495953624328876
72	0.0	1.0	0.8858353899176876
73	0.01	0.54	0.4027257763076576
74	0.0	1.0	0.6695306088595036
75	0.0	1.0	0.7193179674706879
76	0.0	1.0	0.6287562958123936
77	0.0	1.0	0.7280897005696673
78	0.01	0.54	0.4237709979047846
79	0.01	0.54	0.5029350288949591
80	0.01	0.54	0.29023266189096064
81	0.0	1.0	0.9172600589267158
82	0.0	1.0	0.6775704190951344
83	0.01	0.54	0.3758835177245066
84	0.01	0.54	0.46027914611497905
85	0.02	0.195	0.14702316952826652
86	0.0	1.0	0.5959953890304168
87	0.01	0.54	0.4028394426017738
88	0.0	1.0	0.9598284704694374
89	0.0	1.0	0.6787601351041707
90	0.02	0.195	0.13232114727860628
91	0.0	1.0	0.8462432555619473
92	0.0	1.0	0.9956396337426995
93	0.02	0.195	0.1095962115357566
94	0.01	0.54	0.469892153941956
95	0.01	0.54	0.36151317733030475
96	0.02	0.195	0.05240824237140175
97	0.01	0.54	0.3524104532508291
98	0.0	1.0	0.7065472335102906
99	0.0	1.0	0.6519923912195478
100	0.03	0.025	0.023959898235120188
101	0.0	1.0	0.7969135445719777
102	0.01	0.54	0.5332363081503914
103	0.0	1.0	0.560497107242135
104	0.01	0.54	0.462794112889277
105	0.01	0.54	0.31712783529771144
106	0.02	0.195	0.1536468905105764
107	0.01	0.54	0.1967900989314304
108	0.0	1.0	0.9299995238993164
109	0.0	1.0	0.7892265490495193
110	0.02	0.195	0.0576090829513334
111	0.01	0.54	0.5007593418821193
112	0.0	1.0	0.6569986057950475
113	0.03	0.025	0.013889523879846169
114	0.0	1.0	0.62871828226622
115	0.02	0.195	0.12210773489141674
116	0.0	1.0	0.8126168709315755
117	0.0	1.0	0.7229096580758919
118	0.0	1.0	0.742007576614495
119	0.0	1.0	0.9746844959024756
120	0.01	0.54	0.5289517787127409
121	0.04	0.005	0.0033531197205825015
122	0.0	1.0	0.7372872224393276
123	0.0	1.0	0.5712155798403327
124	0.01	0.54	0.20347281058681196
125	0.0	1.0	0.8387740830597707
126	0.0	1.0	0.7131671706109186
127	0.01	0.54	0.456634765240638
128	0.01	0.54	0.21650997211530815
129	0.0	1.0	0.5916097463927217
130	0.02	0.195	0.15443461567682892
131	0.0	1.0	0.6968784149852335
132	0.02	0.195	0.15584715797608403
133	0.0	1.0	0.7350705658138303
134	0.01	0.54	0.23865734820246864
135	0.01	0.54	0.23562940952769154
136	0.0	1.0	0.8116653363744294
137	0.0	1.0	0.62815543317498
138	0.02	0.195	0.16573826091112978
139	0.0	1.0	0.6678365632624593
140	0.0	1.0	0.623521709958509
141	0.01	0.54	0.37112411527753736
142	0.01	0.54	0.3205842315337093
143	0.01	0.54	0.3862780401149281
144	0.01	0.54	0.21963865284105538
145	0.0	1.0	0.9744780177887179
146	0.0	1.0	0.8957699885514536
147	0.0	1.0	0.9510664470515081
148	0.02	0.195	0.0760800188010011
149	0.0	1.0	0.7908585637247119
150	0.01	0.54	0.3016979526844433
151	0.01	0.54	0.443543116431609
152	0.01	0.54	0.5085695453741975
153	0.01	0.54	0.3503488075315926
154	0.0	1.0	0.6145350249898938
155	0.01	0.54	0.43145795636061857
156	0.0	1.0	0.9758060133392078
157	0.0	1.0	0.7646015938934195
158	0.03	0.025	0.011456790168240747
159	0.01	0.54	0.4569853970010031
160	0.02	0.195	0.0667416806212299
161	0.01	0.54	0.2644508158615565
162	0.0	1.0	0.7475348973289138
163	0.02	0.195	0.09677940514390411
164	0.0	1.0	0.7469232416113323
