replicate	model	history_id	ancestry_seed	mutation_seed	n_diploids	n_sites	n_trees	summary	elapsed_seconds_total
0	StandardCoalescent	-1	1513222772	4174790875	100	594	412	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00000.tsv	5.272050000028685
1	StandardCoalescent	-1	1250556317	4128549086	100	540	421	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00001.tsv	5.272050000028685
2	StandardCoalescent	-1	1539021630	2646835854	100	626	442	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00002.tsv	5.272050000028685
3	StandardCoalescent	-1	1608199519	110339081	100	516	371	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00003.tsv	5.272050000028685
4	StandardCoalescent	-1	3581858555	3990142617	100	580	365	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00004.tsv	5.272050000028685
5	StandardCoalescent	-1	2293580481	3626689344	100	671	453	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00005.tsv	5.272050000028685
6	StandardCoalescent	-1	1416533803	2289479803	100	529	395	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00006.tsv	5.272050000028685
7	StandardCoalescent	-1	2823945909	3093655903	100	591	397	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00007.tsv	5.272050000028685
8	StandardCoalescent	-1	2045694635	3806447340	100	549	400	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00008.tsv	5.272050000028685
9	StandardCoalescent	-1	2288902969	2001045839	100	540	434	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00009.tsv	5.272050000028685
10	StandardCoalescent	-1	1237681472	883535844	100	615	415	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00010.tsv	5.272050000028685
11	StandardCoalescent	-1	113678594	399137296	100	568	362	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00011.tsv	5.272050000028685
12	StandardCoalescent	-1	757117349	406005630	100	612	424	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00012.tsv	5.272050000028685
13	StandardCoalescent	-1	2472442602	4247332739	100	560	381	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00013.tsv	5.272050000028685
14	StandardCoalescent	-1	2903835984	2029776118	100	590	455	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00014.tsv	5.272050000028685
15	StandardCoalescent	-1	3212477534	3018293149	100	564	400	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00015.tsv	5.272050000028685
16	StandardCoalescent	-1	643565849	1529654049	100	694	447	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00016.tsv	5.272050000028685
17	StandardCoalescent	-1	3818602255	670792881	100	595	430	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00017.tsv	5.272050000028685
18	StandardCoalescent	-1	4266738132	1230663191	100	590	403	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00018.tsv	5.272050000028685
19	StandardCoalescent	-1	1490867416	1329010733	100	574	416	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00019.tsv	5.272050000028685
20	StandardCoalescent	-1	68508816	3214619862	100	567	402	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00020.tsv	5.272050000028685
21	StandardCoalescent	-1	3914635424	501938688	100	592	401	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00021.tsv	5.272050000028685
22	StandardCoalescent	-1	3734055636	3083122633	100	575	391	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00022.tsv	5.272050000028685
23	StandardCoalescent	-1	2203173685	4236753213	100	578	347	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00023.tsv	5.272050000028685
24	StandardCoalescent	-1	2287905819	327815047	100	609	409	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00024.tsv	5.272050000028685
25	StandardCoalescent	-1	3592559350	3538211438	100	649	417	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\minimal\truth_summaries\replicate_00025.tsv	5.272050000028685
