replicate	statistic	leave_one_out_p	randomized_tie_p
0	0.0065	0.81	0.7354719086009919
1	0.0065	0.81	0.7877412915603835
2	0.0105	0.12	0.09754891248926212
3	0.0065	0.81	0.7988079487198241
4	0.006	0.87	0.8190720940127695
5	0.0095	0.27	0.20359452727007857
6	0.006	0.87	0.8386406283017216
7	0.008	0.57	0.5103533677566715
8	0.0105	0.12	0.07922312023916649
9	0.008	0.57	0.5338789955047721
10	0.0095	0.27	0.17935499117937626
11	0.0085	0.45	0.44641311655198734
12	0.009	0.36	0.2954059567855571
13	0.01	0.17	0.1511811872927891
14	0.0065	0.81	0.8007583298150699
15	0.0095	0.27	0.26363310490087555
16	0.008	0.57	0.45235366454756837
17	0.008	0.57	0.4794429768955176
18	0.0085	0.45	0.4036888581839015
19	0.006	0.87	0.8646739913678222
20	0.0115	0.04	0.019270999043865165
21	0.0125	0.01	0.005705935442695523
22	0.008	0.57	0.5460182568036748
23	0.01	0.17	0.15499206398819326
24	0.004	0.98	0.9702152518183496
25	0.01	0.17	0.1366973961266016
26	0.009	0.36	0.2909126418817702
27	0.0065	0.81	0.778813569197974
28	0.0055	0.93	0.9294547383376356
29	0.0085	0.45	0.42721333243982473
30	0.0105	0.12	0.11915201922429267
31	0.0055	0.93	0.9004322756131309
32	0.008	0.57	0.5624996220713643
33	0.0065	0.81	0.7745921256686208
34	0.007	0.69	0.6504958824227631
35	0.005	0.95	0.9479807441019994
36	0.009	0.36	0.304208727651879
37	0.0075	0.65	0.6213112768514167
38	0.0065	0.81	0.7402429503064337
39	0.0115	0.04	0.03309740935459167
40	0.009	0.36	0.3491237110892764
41	0.007	0.69	0.6755165919490709
42	0.0085	0.45	0.4201718754216
43	0.009	0.36	0.2905647105657222
44	0.0075	0.65	0.6187663992234124
45	0.0065	0.81	0.7625181867169616
46	0.0075	0.65	0.6104329966617091
47	0.01	0.17	0.16536116410217425
48	0.0095	0.27	0.23412797010142036
49	0.004	0.98	0.9677136787652016
50	0.008	0.57	0.5386274463545903
51	0.0095	0.27	0.1792488617998751
52	0.01	0.17	0.1343517123697362
53	0.009	0.36	0.3235155091562263
54	0.0105	0.12	0.07179820404957105
55	0.008	0.57	0.5320657527706661
56	0.008	0.57	0.5608903616640954
57	0.0055	0.93	0.925920520866599
58	0.005	0.95	0.949717801217085
59	0.0065	0.81	0.7798840354026693
60	0.003	1.0	0.9926815446732737
61	0.0055	0.93	0.9028121147099442
62	0.0115	0.04	0.032467256156895094
63	0.007	0.69	0.6541192097580012
64	0.0075	0.65	0.6218137652842455
65	0.0095	0.27	0.21531472384869643
66	0.009	0.36	0.34961719184152257
67	0.0095	0.27	0.19257077896723307
68	0.0055	0.93	0.8819410702190161
69	0.006	0.87	0.8205447406761068
70	0.0065	0.81	0.7923953993510539
71	0.0085	0.45	0.3652068355417275
72	0.008	0.57	0.5402179278046142
73	0.008	0.57	0.5222524439330983
74	0.0085	0.45	0.385342945211642
75	0.0075	0.65	0.6011857334731632
76	0.0095	0.27	0.18929484691573772
77	0.0095	0.27	0.210889065341232
78	0.007	0.69	0.67652417367012
79	0.0085	0.45	0.44033087710303276
80	0.006	0.87	0.8265622020679931
81	0.011	0.06	0.0564026112576833
82	0.0045	0.96	0.9529906612846769
83	0.0085	0.45	0.4071870046237844
84	0.0085	0.45	0.4292032555082554
85	0.0095	0.27	0.24177833501662735
86	0.0065	0.81	0.7046074927905436
87	0.0075	0.65	0.618194653356933
88	0.0065	0.81	0.7995204705572445
89	0.0075	0.65	0.5941321974094209
90	0.008	0.57	0.5257561039613692
91	0.0105	0.12	0.09994477246460182
92	0.011	0.06	0.05981041885837824
93	0.0105	0.12	0.0898574864243847
94	0.009	0.36	0.3417109966805103
95	0.009	0.36	0.313438220173123
96	0.006	0.87	0.8196734973075536
97	0.0055	0.93	0.8973757310001441
98	0.0035	0.99	0.9836205920328324
99	0.0075	0.65	0.5894769376033996
