replicate	model	history_id	ancestry_seed	mutation_seed	n_diploids	n_sites	n_trees	summary	elapsed_seconds_total
0	StandardCoalescent	-1	1513222772	4174790875	2000	909	687	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00000.tsv	19.369067499996163
1	StandardCoalescent	-1	1250556317	4128549086	2000	832	615	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00001.tsv	19.369067499996163
2	StandardCoalescent	-1	1539021630	2646835854	2000	892	635	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00002.tsv	19.369067499996163
3	StandardCoalescent	-1	1608199519	110339081	2000	856	621	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00003.tsv	19.369067499996163
4	StandardCoalescent	-1	3581858555	3990142617	2000	996	674	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00004.tsv	19.369067499996163
5	StandardCoalescent	-1	2293580481	3626689344	2000	872	649	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00005.tsv	19.369067499996163
6	StandardCoalescent	-1	1416533803	2289479803	2000	816	577	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00006.tsv	19.369067499996163
7	StandardCoalescent	-1	2823945909	3093655903	2000	1016	684	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00007.tsv	19.369067499996163
8	StandardCoalescent	-1	2045694635	3806447340	2000	1017	672	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00008.tsv	19.369067499996163
9	StandardCoalescent	-1	2288902969	2001045839	2000	935	669	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00009.tsv	19.369067499996163
10	StandardCoalescent	-1	1237681472	883535844	2000	876	592	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00010.tsv	19.369067499996163
11	StandardCoalescent	-1	113678594	399137296	2000	835	630	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00011.tsv	19.369067499996163
12	StandardCoalescent	-1	757117349	406005630	2000	917	660	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00012.tsv	19.369067499996163
13	StandardCoalescent	-1	2472442602	4247332739	2000	910	678	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00013.tsv	19.369067499996163
14	StandardCoalescent	-1	2903835984	2029776118	2000	838	600	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00014.tsv	19.369067499996163
15	StandardCoalescent	-1	3212477534	3018293149	2000	893	626	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00015.tsv	19.369067499996163
16	StandardCoalescent	-1	643565849	1529654049	2000	856	613	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00016.tsv	19.369067499996163
17	StandardCoalescent	-1	3818602255	670792881	2000	979	712	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00017.tsv	19.369067499996163
18	StandardCoalescent	-1	4266738132	1230663191	2000	960	702	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00018.tsv	19.369067499996163
19	StandardCoalescent	-1	1490867416	1329010733	2000	832	635	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00019.tsv	19.369067499996163
20	StandardCoalescent	-1	68508816	3214619862	2000	755	600	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00020.tsv	19.369067499996163
21	StandardCoalescent	-1	3914635424	501938688	2000	863	635	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00021.tsv	19.369067499996163
22	StandardCoalescent	-1	3734055636	3083122633	2000	827	598	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00022.tsv	19.369067499996163
23	StandardCoalescent	-1	2203173685	4236753213	2000	983	692	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00023.tsv	19.369067499996163
24	StandardCoalescent	-1	2287905819	327815047	2000	867	659	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00024.tsv	19.369067499996163
25	StandardCoalescent	-1	3592559350	3538211438	2000	999	680	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00025.tsv	19.369067499996163
26	StandardCoalescent	-1	960395963	390624261	2000	775	646	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00026.tsv	19.369067499996163
27	StandardCoalescent	-1	2066746484	898751947	2000	776	633	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00027.tsv	19.369067499996163
28	StandardCoalescent	-1	1746525084	2152511233	2000	852	671	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00028.tsv	19.369067499996163
29	StandardCoalescent	-1	1266708660	2928862136	2000	841	653	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00029.tsv	19.369067499996163
